Region,District,Township,n_cell,n_core_cell,n_edges_perimeter,n_edges_internal,area,core_area,perimeter,perim_area_ratio,shape_index,frac_dim_index,core_area_index
Chin,Mindat,Kanpetlet,2445.083108,2098.182432,413.6148649,9366.717568,2445.083108,2098.182432,413.6148649,3.12318529,1.294508604,NA,0.007734794
Chin,Mindat,Matupi,4214.635294,3595.057219,725.0203209,16133.52086,4214.635294,3595.057219,725.0203209,3.096236515,1.3051124,NA,0.008665001
Chin,Mindat,Mindat,1282.311317,974.6329037,369.8848168,4759.360451,1282.311317,974.6329037,369.8848168,3.173078444,1.210768782,NA,0.004228812
Chin,Mindat,Paletwa,9609.113949,8507.394237,1284.978389,37151.47741,9609.113949,8507.394237,1284.978389,3.324327486,1.343769967,NA,0.004190055
Chin,Palam,Falam,507.882798,340.9766831,206.3752316,1825.15596,507.882798,340.9766831,206.3752316,3.111005374,1.239109827,NA,0.006309601
Chin,Palam,Haka,1307.502618,972.9606283,403.8735079,4826.136963,1307.502618,972.9606283,403.8735079,3.016874123,1.305909313,NA,0.012214738
Chin,Palam,Thlangtlang,1536.314429,1169.510665,435.7043915,5709.553325,1536.314429,1169.510665,435.7043915,3.044458422,1.295084077,NA,0.01253558
Chin,Palam,Tiddim,760.594829,522.6841176,287.5882447,2754.791071,760.594829,522.6841176,287.5882447,3.070785769,1.240835442,NA,0.008147889
Chin,Palam,Tonzang,1918.587565,1534.888021,463.7369792,7210.613281,1918.587565,1534.888021,463.7369792,3.177544965,1.264226847,NA,0.006538803
Kachin,Bhamo,Bhamo,1178.015279,1020.920012,186.386459,4525.674655,1178.015279,1020.920012,186.386459,2.886452137,1.346063424,NA,0.020823962
Kachin,Bhamo,Mansi,2306.824505,2077.571165,266.7526485,8960.545371,2306.824505,2077.571165,266.7526485,2.954882579,1.282188575,NA,0.014889966
Kachin,Bhamo,Momauk,1344.345762,1201.038241,167.4015296,5209.981517,1344.345762,1201.038241,167.4015296,2.943910405,1.268730479,NA,0.017538106
Kachin,Bhamo,Shwegu,1558.750154,1449.608,127.4178462,6107.582769,1558.750154,1449.608,127.4178462,2.994282883,1.262966043,NA,0.014452626
Kachin,Myitkyina,Chipwi,924.5832397,711.1862257,263.3003692,3435.03259,924.5832397,711.1862257,263.3003692,3.035032246,1.283654817,NA,0.010050871
Kachin,Myitkyina,Hsawlaw,1195.646987,930.2743631,330.8418924,4451.746057,1195.646987,930.2743631,330.8418924,3.12838771,1.249175142,NA,0.005871045
Kachin,Myitkyina,Kamaing,1790.572344,1657.166176,157.6842835,7004.605094,1790.572344,1657.166176,157.6842835,3.038208045,1.250691131,NA,0.013762407
Kachin,Myitkyina,Mogaung,759.4987013,669.7796204,105.2995005,2932.695305,759.4987013,669.7796204,105.2995005,2.964736609,1.284944587,NA,0.014673925
Kachin,Myitkyina,Mohnyin,910.4772114,836.8000164,87.19941085,3554.709435,910.4772114,836.8000164,87.19941085,3.061214942,1.248545387,NA,0.010427996
Kachin,Myitkyina,Myitkyina,1180.769358,1047.670133,158.8603982,4564.217035,1180.769358,1047.670133,158.8603982,2.951749475,1.277407853,NA,0.012563505
Kachin,Myitkyina,Njangyang,23857.25305,23216.11585,730.4756098,94698.53659,23857.25305,23216.11585,730.4756098,3.117451689,1.492701199,NA,0.029563181
Kachin,Myitkyina,Tanai,9408.048544,9017.576052,452.936662,37179.25751,9408.048544,9017.576052,452.936662,3.223247984,1.241589671,NA,0.012464037
Kachin,Myitkyina,Waingmaw,1070.091154,935.4406606,159.7255153,4120.639099,1070.091154,935.4406606,159.7255153,2.91387841,1.282547971,NA,0.016726459
Kachin,Putao,Khawbude,1151.38338,961.9574828,231.8461167,4373.687402,1151.38338,961.9574828,231.8461167,3.096076137,1.268864002,NA,0.008630896
Kachin,Putao,Machanbaw,17986.50385,17505.20769,557.7692308,71388.24615,17986.50385,17505.20769,557.7692308,3.065258913,1.532168662,NA,0.021636119
Kachin,Putao,Nogmung,548.4424645,455.7317168,116.3934935,2077.376364,548.4424645,455.7317168,116.3934935,3.096742458,1.263233167,NA,0.008524835
Kachin,Putao,Putao,1092.455866,953.0454376,170.3870888,4199.436375,1092.455866,953.0454376,170.3870888,3.064694109,1.274781828,NA,0.010150829
Kachin,Putao,Sumpranbum,23020.18257,22323.80498,793.9875519,91286.74274,23020.18257,22323.80498,793.9875519,3.137133308,1.446852513,NA,0.023745329
Magway,Magwe Minbu,Chauk,12379.42063,12311.03175,70.22222222,49447.46032,12379.42063,12311.03175,70.22222222,3.220629858,1.135404654,NA,0.009013041
Magway,Magwe Minbu,Myothit,531.8661878,486.3917474,55.20982292,2072.254928,531.8661878,486.3917474,55.20982292,2.918645602,1.283894988,NA,0.009448619
Magway,Magwe Minbu,Natmauk,9174.612756,9131.624146,45.53986333,36652.91116,9174.612756,9131.624146,45.53986333,3.171030929,1.150022592,NA,0.007486982
Magway,Magwe Minbu,Yenangyaung,28725.89063,28585.4375,140.65625,114762.9063,28725.89063,28585.4375,140.65625,3.438057695,1.044368778,NA,0.015549711
Magway,Minbu,Pwinbyu,579.9035922,512.7171157,80.67881669,2238.935552,579.9035922,512.7171157,80.67881669,2.997110868,1.290352108,NA,0.012743993
Magway,Minbu,Salin,673.1150947,603.6758595,82.76815591,2609.692223,673.1150947,603.6758595,82.76815591,2.965166344,1.267365167,NA,0.010401626
Magway,Minbu,Sidoktaya,1385.608545,1107.940257,328.8614102,5213.572768,1385.608545,1107.940257,328.8614102,3.052417727,1.271845834,NA,0.010786835
Magway,Pakokku,Gangaw,466.1761847,337.8419063,153.982179,1710.72256,466.1761847,337.8419063,153.982179,2.86374201,1.329030287,NA,0.019172939
Magway,Pakokku,Htilin,318.2437242,192.3280902,152.0311408,1120.943756,318.2437242,192.3280902,152.0311408,2.879190028,1.325924794,NA,0.01848364
Magway,Pakokku,Myaing,2596.351299,2568.912416,30.41193455,10354.99326,2596.351299,2568.912416,30.41193455,3.113813669,1.177804893,NA,0.005438993
Magway,Pakokku,Pakokku,4953.569507,4916.576233,38.26457399,19776.01345,4953.569507,4916.576233,38.26457399,3.367323441,1.101002681,NA,0.00248815
Magway,Pakokku,Pauk,283.7051626,225.6456847,70.96447033,1063.85618,283.7051626,225.6456847,70.96447033,2.953755775,1.301525715,NA,0.010739315
Magway,Pakokku,Saw,603.4003634,418.9117706,219.2763981,2194.325056,603.4003634,418.9117706,219.2763981,2.946102904,1.303338648,NA,0.013952022
Magway,Pakokku,Seikpyu,4187612,4033993,167204,16583244,4187612,4033993,167204,0.039928246,20.42560469,1.395714314,0.963315847
Magway,Pakokku,Yesagyo,6336.487544,6284.427046,56.49822064,25289.45196,6336.487544,6284.427046,56.49822064,3.125590801,1.203626722,NA,0.008687979
Mandalay,Kyaukse,Kyaukse,1385.681227,1185.775558,232.8262082,5309.898699,1385.681227,1185.775558,232.8262082,2.813388664,1.335286581,NA,0.024991371
Mandalay,Kyaukse,Myitha,1107.022064,1033.194679,85.22258274,4342.865672,1107.022064,1033.194679,85.22258274,2.941732679,1.271187412,NA,0.022588018
Mandalay,Kyaukse,Singaing,522.1845973,475.0293945,54.66784245,2034.070547,522.1845973,475.0293945,54.66784245,2.716613419,1.330326044,NA,0.035968879
Mandalay,Kyaukse,Tada-U,4473.975,4431.914286,45.67142857,17850.22857,4473.975,4431.914286,45.67142857,3.165549176,1.15962348,NA,0.006820012
Mandalay,Mandalay,Amarapura,783.7683824,762.7959559,22.49632353,3112.577206,783.7683824,762.7959559,22.49632353,3.359811832,1.09034982,NA,0.002261985
Mandalay,Mandalay,Mandalay,651.2198068,631.8478261,20.1352657,2584.743961,651.2198068,631.8478261,20.1352657,3.423935005,1.057034205,NA,0.002957805
Mandalay,Mandalay,Maymyo,2942157,2531190,470166,11298462,2942157,2531190,470166,0.159803165,68.51734188,1.56761575,0.860317787
Mandalay,Mandalay,Patheingyi,3680665,3466935,246980,14475680,3680665,3466935,246980,0.067102005,32.1756123,1.459231061,0.941931689
Mandalay,Meiktila,Meiktila,11537.92763,11477.50658,61.22368421,46090.48684,11537.92763,11477.50658,61.22368421,3.44623487,1.081749098,NA,0.006545712
Mandalay,Meiktila,Pyawbwe,2795.407266,2644.768642,172.5487572,11009.08031,2795.407266,2644.768642,172.5487572,3.006219353,1.2426169,NA,0.016742409
Mandalay,Meiktila,Thazi,821.8610169,713.0086287,127.7152542,3159.728814,821.8610169,713.0086287,127.7152542,2.845215921,1.320206728,NA,0.021856389
Mandalay,Meiktila,Wudwin,3401.368476,3328.489562,83.50730689,13521.9666,3401.368476,3328.489562,83.50730689,3.110424201,1.220348751,NA,0.018692287
Mandalay,Myingyan,Kyaukpadaung,1344.755632,1297.668576,55.61359297,5323.408935,1344.755632,1297.668576,55.61359297,2.994382274,1.244835031,NA,0.010875001
Mandalay,Myingyan,Mahlaing,3982.034985,3940.189504,45.65597668,15882.48397,3982.034985,3940.189504,45.65597668,2.948485116,1.221625432,NA,0.016983319
Mandalay,Myingyan,Myingyan,6064.261538,6021.607692,44.51538462,24212.53077,6064.261538,6021.607692,44.51538462,3.154383586,1.108813607,NA,0.005451803
Mandalay,Myingyan,Natogyi,7912.564286,7863.442857,52.44285714,31597.81429,7912.564286,7863.442857,52.44285714,3.06716013,1.183806546,NA,0.008442075
Mandalay,Myingyan,Nyaungu,15893.10828,15829.73248,64.43312102,63508,15893.10828,15829.73248,64.43312102,3.274394118,1.079683868,NA,0.006345042
Mandalay,Myingyan,Taungtha,11495.08228,11421.31646,77.72151899,45902.60759,11495.08228,11421.31646,77.72151899,3.077667611,1.207509937,NA,0.018862699
