"","Township","Year","Number.of.Loss.Patches","Avg.Patch.Size","Total.Area.of.Loss.Patches"
"1","Amarapura","2001",6,2036.691109523,12220.146657138
"2","Amarapura","2002",1,719.014544347517,719.014544347517
"3","Amarapura","2003",2,718.689820022307,1437.37964004461
"4","Amarapura","2004",1,2156.03708785243,2156.03708785243
"5","Amarapura","2005",3,958.120930485206,2874.36279145562
"6","Amarapura","2006",3,1677.47351119313,5032.42053357939
"7","Amarapura","2007",0,0,0
"8","Amarapura","2008",8,988.437186848308,7907.49749478646
"9","Amarapura","2009",9,958.458030787034,8626.1222770833
"10","Amarapura","2010",11,1633.470174632,17968.1719209521
"11","Amarapura","2011",7,1335.06897145,9345.48280014997
"12","Amarapura","2012",5,1438.05526609196,7190.2763304598
"13","Amarapura","2013",23,1406.51750378605,32349.9025870792
"14","Amarapura","2014",17,1987.75866757444,33791.8973487655
"15","Amarapura","2015",16,4852.11042842295,77633.7668547672
"16","Amarapura","2016",0,0,0
"17","Amarapura","2017",13,5088.19222790487,66146.4989627633
"18","An","2001",3925,2587.91432404637,10157563.721882
"19","An","2002",2946,4070.56631928866,11991888.3766244
"20","An","2003",5098,2621.65811567754,13365213.0737241
"21","An","2004",4182,3172.61864485114,13267891.1727675
"22","An","2005",6342,3349.39215584457,21241845.0523663
"23","An","2006",7197,3716.18382201364,26745374.9670322
"24","An","2007",11558,3251.9622235817,37586179.3801573
"25","An","2008",8721,4553.94984896813,39714996.632851
"26","An","2009",5886,5023.02243456162,29565510.0498297
"27","An","2010",9757,4021.57320618438,39238489.772741
"28","An","2011",6086,3553.42566248008,21626148.5818538
"29","An","2012",11855,2771.76340911509,32859255.2150594
"30","An","2013",13420,2896.19045979655,38866875.9704698
"31","An","2014",10190,4123.88875279955,42022426.3910274
"32","An","2015",6472,7974.8978188838,51613538.683816
"33","An","2016",7054,12543.9022709667,88484686.619399
"34","An","2017",7256,12038.7021389224,87352822.7200209
"35","Arakan (Sandoway)","2001",704,1812.48231417775,1275987.54918113
"36","Arakan (Sandoway)","2002",671,1986.93535130233,1333233.62072386
"37","Arakan (Sandoway)","2003",706,2039.91255384476,1440178.2630144
"38","Arakan (Sandoway)","2004",1568,2193.37460630834,3439211.38269148
"39","Arakan (Sandoway)","2005",1259,1967.21933627962,2476729.14437604
"40","Arakan (Sandoway)","2006",1479,2604.00904065995,3851329.37113607
"41","Arakan (Sandoway)","2007",830,3386.0181923979,2810395.09969026
"42","Arakan (Sandoway)","2008",1997,2817.56916446434,5626685.62143529
"43","Arakan (Sandoway)","2009",1499,3041.40371399558,4559064.16727937
"44","Arakan (Sandoway)","2010",1528,3433.70655175551,5246703.61108242
"45","Arakan (Sandoway)","2011",1846,3429.25170259534,6330398.64299099
"46","Arakan (Sandoway)","2012",4845,2560.83085852745,12407225.5095655
"47","Arakan (Sandoway)","2013",5575,2234.38305911581,12456685.5545707
"48","Arakan (Sandoway)","2014",3869,3881.76981931003,15018567.4309105
"49","Arakan (Sandoway)","2015",1121,5354.41420150275,6002298.31988459
"50","Arakan (Sandoway)","2016",1484,7007.85220985602,10399652.6794263
"51","Arakan (Sandoway)","2017",1455,8833.30264601263,12852455.3499484
"52","Ayadaw","2001",1,715.935368325516,715.935368325516
"53","Ayadaw","2002",5,859.540217913343,4297.70108956672
"54","Ayadaw","2003",4,895.26806181547,3581.07224726188
"55","Ayadaw","2004",6,955.218577208139,5731.31146324883
"56","Ayadaw","2005",9,1511.57367322754,13604.1630590479
"57","Ayadaw","2006",3,954.472084246984,2863.41625274095
"58","Ayadaw","2007",19,1130.72519560645,21483.7787165226
"59","Ayadaw","2008",8,1253.85620862224,10030.8496689779
"60","Ayadaw","2009",6,955.139748457723,5730.83849074634
"61","Ayadaw","2010",12,1014.66630780378,12175.9956936454
"62","Ayadaw","2011",10,931.37248339935,9313.7248339935
"63","Ayadaw","2012",20,1289.50877337248,25790.1754674495
"64","Ayadaw","2013",26,2314.37097426348,60173.6453308504
"65","Ayadaw","2014",48,3208.25519996357,153996.249598251
"66","Ayadaw","2015",77,2845.41384877395,219096.866355594
"67","Ayadaw","2016",3,11940.3715048348,35821.1145145044
"68","Ayadaw","2017",2,4298.69462931023,8597.38925862045
"69","Bago (Pegu)","2001",1359,2005.02497785782,2724828.94490878
"70","Bago (Pegu)","2002",2582,2143.28121642834,5533952.10081797
"71","Bago (Pegu)","2003",1168,2372.00930683444,2770506.87038263
"72","Bago (Pegu)","2004",8905,2414.74861770901,21503336.4406988
"73","Bago (Pegu)","2005",1986,2386.11277701819,4738819.97515814
"74","Bago (Pegu)","2006",2449,5680.16433085308,13910722.4462592
"75","Bago (Pegu)","2007",2647,2741.28940092246,7256193.04424174
"76","Bago (Pegu)","2008",2117,3674.80787211938,7779568.26527674
"77","Bago (Pegu)","2009",3848,2548.5855796202,9806957.31037854
"78","Bago (Pegu)","2010",2243,6456.30539438971,14481492.9996161
"79","Bago (Pegu)","2011",7603,3991.81978715303,30349805.8417245
"80","Bago (Pegu)","2012",9393,4182.52454505423,39286453.0516943
"81","Bago (Pegu)","2013",4586,4313.45521834218,19781505.6313172
"82","Bago (Pegu)","2014",4194,11836.5322900848,49642416.4246157
"83","Bago (Pegu)","2015",1633,11281.0414741764,18421940.7273301
"84","Bago (Pegu)","2016",939,14805.0021140674,13901896.9851093
"85","Bago (Pegu)","2017",1678,9424.44530807549,15814219.2269507
"86","Banmauk","2001",1908,2659.97080423041,5075224.29447161
"87","Banmauk","2002",1261,2889.53503411194,3643703.67801515
"88","Banmauk","2003",2665,3448.87674259894,9191256.51902619
"89","Banmauk","2004",2106,3491.33442574342,7352750.30061563
"90","Banmauk","2005",2425,3373.48566497966,8180702.73757568
"91","Banmauk","2006",2178,3285.32821356453,7155444.84914355
"92","Banmauk","2007",4806,3648.22335440044,17533361.4412485
"93","Banmauk","2008",3353,3307.09447951217,11088687.7898043
"94","Banmauk","2009",4302,4180.97641429147,17986560.5342819
"95","Banmauk","2010",3311,4316.53508243286,14292047.6579352
"96","Banmauk","2011",2570,4430.82096392083,11387209.8772765
"97","Banmauk","2012",6564,3261.53815044309,21408736.4195085
"98","Banmauk","2013",4891,2124.03600808949,10388660.1155657
"99","Banmauk","2014",5448,2910.68737811422,15857424.8359663
"100","Banmauk","2015",3002,5340.51548309319,16032227.4802457
"101","Banmauk","2016",3695,4990.75427476208,18440837.0452459
"102","Banmauk","2017",3790,4478.49851125029,16973509.3576386
"103","Bassein West","2001",1197,2959.53328642454,3542561.34385018
"104","Bassein West","2002",1023,3957.80170532913,4048831.1445517
"105","Bassein West","2003",865,3035.44574516791,2625660.56957024
"106","Bassein West","2004",999,4150.65524403138,4146504.58878735
"107","Bassein West","2005",1572,4958.93056189962,7795438.84330621
"108","Bassein West","2006",1497,4891.91190176845,7323192.11694736
"109","Bassein West","2007",852,4833.81544212007,4118410.7566863
"110","Bassein West","2008",1504,5269.04957828957,7924650.56574751
"111","Bassein West","2009",979,5161.00153758349,5052620.50529423
"112","Bassein West","2010",1524,5665.95239535723,8634911.45052441
"113","Bassein West","2011",1284,7093.7681875056,9108398.35275719
"114","Bassein West","2012",4362,4240.40551339855,18496648.8494445
"115","Bassein West","2013",2789,4350.6197388882,12133878.4517592
"116","Bassein West","2014",3030,6478.35384218446,19629412.1418189
"117","Bassein West","2015",855,10769.6618669804,9208060.89626828
"118","Bassein West","2016",1321,11631.7518762395,15365544.2285124
"119","Bassein West","2017",1098,12934.5198466508,14202102.7916226
"120","Bawlakhe","2001",658,4821.39420367152,3172477.38601586
"121","Bawlakhe","2002",1157,3669.63164008788,4245763.80758168
"122","Bawlakhe","2003",1387,5393.86195435565,7481286.53069128
"123","Bawlakhe","2004",1725,4727.27642065731,8154551.82563387
"124","Bawlakhe","2005",306,3450.73054357328,1055923.54633342
"125","Bawlakhe","2006",2659,5038.12771970026,13396381.606683
"126","Bawlakhe","2007",1240,5446.97779954354,6754252.47143399
"127","Bawlakhe","2008",1134,5799.8507343455,6577030.73274779
"128","Bawlakhe","2009",2492,4852.35941575,12092079.664049
"129","Bawlakhe","2010",1942,5504.91376103519,10690542.5239303
"130","Bawlakhe","2011",1085,5620.34772822353,6098077.28512253
"131","Bawlakhe","2012",4094,5532.52505001865,22650157.5547764
"132","Bawlakhe","2013",5346,6172.46690771391,32998008.0886386
"133","Bawlakhe","2014",4917,8479.55492128239,41693971.5479455
"134","Bawlakhe","2015",1957,17102.7973226233,33470174.3603738
"135","Bawlakhe","2016",1524,26720.0487264242,40721354.2590705
"136","Bawlakhe","2017",1397,25628.6108003104,35803169.2880337
"137","Bhamo","2001",1300,2155.36548819365,2801975.13465174
"138","Bhamo","2002",1744,2831.92454721108,4938876.41033612
"139","Bhamo","2003",2826,2933.00898658124,8288683.39607859
"140","Bhamo","2004",2361,3450.96831000792,8147736.17992869
"141","Bhamo","2005",2262,3347.2851251026,7571558.95298208
"142","Bhamo","2006",2406,3830.17849832537,9215409.46697083
"143","Bhamo","2007",2760,3784.10436332875,10444128.0427874
"144","Bhamo","2008",1356,3007.54502895733,4078231.05926614
"145","Bhamo","2009",6388,5676.91444209994,36264129.4561344
"146","Bhamo","2010",3315,5254.21783359633,17417732.1183718
"147","Bhamo","2011",4209,4310.9540867583,18144805.7511657
"148","Bhamo","2012",4369,3023.289613386,13208752.3208834
"149","Bhamo","2013",3901,3426.33459139329,13366131.2410252
"150","Bhamo","2014",5419,4890.88848940322,26503724.7240761
"151","Bhamo","2015",4108,7593.34725580842,31193470.526861
"152","Bhamo","2016",5493,8475.85322717286,46557861.7768605
"153","Bhamo","2017",4915,8643.89947663801,42484765.9276758
"154","Bilin","2001",1396,2235.32961398119,3120520.14111774
"155","Bilin","2002",2141,2050.71637293679,4390583.75445767
"156","Bilin","2003",2570,2403.17803600053,6176167.55252136
"157","Bilin","2004",4914,2441.76063274732,11998811.7493204
"158","Bilin","2005",1761,2761.77951435647,4863493.72478175
"159","Bilin","2006",4572,3326.70878135171,15209712.54834
"160","Bilin","2007",4100,3371.21592375353,13821985.2873895
"161","Bilin","2008",4794,3479.07557884259,16678688.3249714
"162","Bilin","2009",4459,4163.43714502526,18564766.2296676
"163","Bilin","2010",4702,4246.12466058017,19965278.154048
"164","Bilin","2011",4356,3363.34495991995,14650730.6454113
"165","Bilin","2012",10805,3686.04941878195,39827763.969939
"166","Bilin","2013",8120,5999.62087763811,48716921.5264214
"167","Bilin","2014",9638,6556.64143202002,63192910.1218089
"168","Bilin","2015",4808,9081.29105257929,43662847.3808012
"169","Bilin","2016",4680,10228.2335164079,47868132.8567891
"170","Bilin","2017",5421,9882.10182857584,53570874.0127096
"171","Bogale","2001",6,1614.01677019068,9684.10062114407
"172","Bogale","2002",9,1324.33135668416,11918.9822101574
"173","Bogale","2003",8,931.309507826298,7450.47606261039
"174","Bogale","2004",13,1145.98226746065,14897.7694769885
"175","Bogale","2005",7,1915.80522300243,13410.636561017
"176","Bogale","2006",25,1072.84460317385,26821.1150793462
"177","Bogale","2007",16,1675.8368996545,26813.3903944719
"178","Bogale","2008",68,1533.63928392916,104287.471307183
"179","Bogale","2009",7,2235.5707153762,15648.9950076334
"180","Bogale","2010",23,1230.27571976927,28296.3415546931
"181","Bogale","2011",39,1356.20840890935,52892.1279474645
"182","Bogale","2012",95,1427.17583027263,135581.7038759
"183","Bogale","2013",70,1330.05629583492,93103.9407084444
"184","Bogale","2014",185,3003.69955355085,555684.417406906
"185","Bogale","2015",0,0,0
"186","Bogale","2016",96,8122.70726470627,779779.897411802
"187","Bogale","2017",42,5904.63128846577,247994.514115563
"188","Bokpyin","2001",3570,4470.29980729445,15958970.3120412
"189","Bokpyin","2002",8211,4909.81160958652,40314463.1263149
"190","Bokpyin","2003",4729,7028.8328905692,33239350.7395017
"191","Bokpyin","2004",8295,8127.6715726528,67419035.695155
"192","Bokpyin","2005",13729,7863.81267934547,107962284.274734
"193","Bokpyin","2006",7231,10461.0789929625,75644062.1981117
"194","Bokpyin","2007",10542,8629.5051811329,90972243.619503
"195","Bokpyin","2008",4871,9827.52616414944,47869879.9455719
"196","Bokpyin","2009",13161,7325.11001031544,96405772.8457614
"197","Bokpyin","2010",7146,9710.54682092369,69391567.5823207
"198","Bokpyin","2011",9211,8164.23368746709,75200756.4952594
"199","Bokpyin","2012",8722,7781.20004879689,67867626.8256065
"200","Bokpyin","2013",12631,8414.32462101952,106281334.288098
"201","Bokpyin","2014",24894,7539.5458142482,187689453.499895
"202","Bokpyin","2015",9732,16301.4018312765,158645242.621983
"203","Bokpyin","2016",12778,15967.8085806657,204036658.043746
"204","Bokpyin","2017",9265,12232.5925977341,113334970.418007
"205","Budalin","2001",3,715.552581040341,2146.65774312102
"206","Budalin","2002",1,716.054762140397,716.054762140397
"207","Budalin","2003",5,2003.94294275036,10019.7147137518
"208","Budalin","2004",12,1788.9900463194,21467.8805558328
"209","Budalin","2005",12,1371.76967195669,16461.2360634803
"210","Budalin","2006",23,1369.07597661756,31488.7474622038
"211","Budalin","2007",12,1312.54619871033,15750.5543845239
"212","Budalin","2008",16,1162.73558070694,18603.769291311
"213","Budalin","2009",2,1432.55821408834,2865.11642817667
"214","Budalin","2010",2,1431.28160850011,2862.56321700022
"215","Budalin","2011",5,1144.92092109124,5724.60460545621
"216","Budalin","2012",30,1837.07907492722,55112.3722478166
"217","Budalin","2013",12,1073.4062729712,12880.8752756544
"218","Budalin","2014",11,1301.87421977468,14320.6164175215
"219","Budalin","2015",1,2147.84665736914,2147.84665736914
"220","Budalin","2016",0,0,0
"221","Budalin","2017",0,0,0
"222","Buthidaung","2001",2228,2567.59382125717,5720599.03376097
"223","Buthidaung","2002",3827,1675.1718960129,6410882.84604139
"224","Buthidaung","2003",1839,1900.06827136498,3494225.5510402
"225","Buthidaung","2004",2147,2022.94588686551,4343264.81910025
"226","Buthidaung","2005",1806,2347.07998877502,4238826.45972768
"227","Buthidaung","2006",948,2337.52767583033,2215976.23668715
"228","Buthidaung","2007",363,2664.32305074981,967149.26742218
"229","Buthidaung","2008",2955,2576.51389567672,7613598.5617247
"230","Buthidaung","2009",2724,2812.55255889481,7661393.17042945
"231","Buthidaung","2010",813,3453.272167586,2807510.27224742
"232","Buthidaung","2011",5738,2328.08175311702,13358533.0993855
"233","Buthidaung","2012",2374,2266.88316460421,5381580.63277039
"234","Buthidaung","2013",4138,3052.31205072538,12630467.2659016
"235","Buthidaung","2014",3712,5337.37883682815,19812350.2423061
"236","Buthidaung","2015",2513,12341.379830498,31013887.5140414
"237","Buthidaung","2016",2243,15612.3248491654,35018444.636678
"238","Buthidaung","2017",2107,16686.6417271667,35158754.1191403
"239","Chauk","2001",0,0,0
"240","Chauk","2002",3,1690.12637772109,5070.37913316327
"241","Chauk","2003",0,0,0
"242","Chauk","2004",2,724.351498922005,1448.70299784401
"243","Chauk","2005",3,1449.29935003702,4347.89805011107
"244","Chauk","2006",1,724.369434742132,724.369434742132
"245","Chauk","2007",1,724.22146788723,724.22146788723
"246","Chauk","2008",0,0,0
"247","Chauk","2009",4,3261.04020783365,13044.1608313346
"248","Chauk","2010",1,1449.45599744087,1449.45599744087
"249","Chauk","2011",2,724.51723721593,1449.03447443186
"250","Chauk","2012",1,724.351498922005,724.351498922005
"251","Chauk","2013",2,1449.15929907724,2898.31859815449
"252","Chauk","2014",2,725.120182812348,1450.2403656247
"253","Chauk","2015",0,0,0
"254","Chauk","2016",0,0,0
"255","Chauk","2017",0,0,0
"256","Chaung-U","2001",5,1149.80311223744,5749.01556118722
"257","Chaung-U","2002",7,821.47314033297,5750.31198233079
"258","Chaung-U","2003",0,0,0
"259","Chaung-U","2004",4,718.109025412704,2872.43610165082
"260","Chaung-U","2005",3,718.217193307063,2154.65157992119
"261","Chaung-U","2006",3,1677.33060835933,5031.991825078
"262","Chaung-U","2007",4,898.243803573876,3592.9752142955
"263","Chaung-U","2008",1,717.949391858394,717.949391858394
"264","Chaung-U","2009",4,898.308721610047,3593.23488644019
"265","Chaung-U","2010",1,1437.39914703866,1437.39914703866
"266","Chaung-U","2011",0,0,0
"267","Chaung-U","2012",4,898.241704221648,3592.96681688659
"268","Chaung-U","2013",0,0,0
"269","Chaung-U","2014",2,1077.55232241142,2155.10464482285
"270","Chaung-U","2015",0,0,0
"271","Chaung-U","2016",0,0,0
"272","Chaung-U","2017",0,0,0
"273","Chaungzon","2001",49,1182.68302169795,57951.4680631995
"274","Chaungzon","2002",11,1486.71867300406,16353.9054030447
"275","Chaungzon","2003",5,891.964116625017,4459.82058312508
"276","Chaungzon","2004",18,1032.1613832222,18578.9048979996
"277","Chaungzon","2005",14,1061.48636568081,14860.8091195314
"278","Chaungzon","2006",78,2076.97770063759,162004.260649732
"279","Chaungzon","2007",87,3263.06361610595,283886.534601217
"280","Chaungzon","2008",65,2755.61601245797,179115.040809768
"281","Chaungzon","2009",122,2990.60298622883,364853.564319917
"282","Chaungzon","2010",143,3127.92450955774,447293.204866757
"283","Chaungzon","2011",107,2389.24127245125,255648.816152284
"284","Chaungzon","2012",80,1792.8890313668,143431.122509344
"285","Chaungzon","2013",164,3589.35336727644,588653.952233336
"286","Chaungzon","2014",210,3945.34975971591,828523.44954034
"287","Chaungzon","2015",130,7383.49399073866,959854.218796026
"288","Chaungzon","2016",165,7015.17214591289,1157503.40407563
"289","Chaungzon","2017",122,6522.9519706171,795800.140415287
"290","Chipwi","2001",2211,4735.35982766487,10469880.578967
"291","Chipwi","2002",3904,3424.74142031468,13370190.5049085
"292","Chipwi","2003",2110,3788.37212433216,7993465.18234087
"293","Chipwi","2004",6576,3716.99576745245,24442964.1667673
"294","Chipwi","2005",2938,4212.74600984141,12377047.7769141
"295","Chipwi","2006",3600,5334.89069571095,19205606.5045594
"296","Chipwi","2007",3285,4688.85304537641,15402882.2540615
"297","Chipwi","2008",2329,4496.15754900423,10471550.9316308
"298","Chipwi","2009",3969,5400.24390087519,21433568.0425736
"299","Chipwi","2010",3222,4154.15080268573,13384673.8862534
"300","Chipwi","2011",3026,4825.08955594205,14600720.9962806
"301","Chipwi","2012",5467,3865.65870337144,21133556.1313317
"302","Chipwi","2013",6793,5415.62474631794,36788338.9017378
"303","Chipwi","2014",7038,4651.24053082746,32735430.8559637
"304","Chipwi","2015",4325,7975.85883322292,34495589.4536891
"305","Chipwi","2016",2785,10582.296471069,29471695.671927
"306","Chipwi","2017",2667,13026.926766311,34742813.6857513
"307","Daik-U","2001",578,2319.10087020607,1340440.30297911
"308","Daik-U","2002",1043,2330.17466300719,2430372.1735165
"309","Daik-U","2003",448,2133.72803064059,955910.157726985
"310","Daik-U","2004",3925,2929.56633798761,11498547.8766014
"311","Daik-U","2005",436,3454.17675772561,1506021.06636837
"312","Daik-U","2006",769,9793.2270454634,7530991.59796136
"313","Daik-U","2007",837,2918.17588991636,2442513.21985999
"314","Daik-U","2008",561,3304.21768966849,1853666.12390402
"315","Daik-U","2009",1178,2128.59123202472,2507480.47132513
"316","Daik-U","2010",540,7423.32075222512,4008593.20620156
"317","Daik-U","2011",1230,4543.9343405673,5589039.23889778
"318","Daik-U","2012",2405,4153.61433498922,9989442.47564908
"319","Daik-U","2013",741,5350.6531078961,3964833.95295101
"320","Daik-U","2014",766,16883.4767095407,12932743.1595082
"321","Daik-U","2015",384,6397.70450628154,2456718.53041211
"322","Daik-U","2016",261,11570.1046742391,3019797.3199764
"323","Daik-U","2017",595,5917.77602797138,3521076.73664297
"324","Danubyu","2001",8,924.651059667705,7397.20847734164
"325","Danubyu","2002",9,985.974436513094,8873.76992861784
"326","Danubyu","2003",11,874.05879117396,9614.64670291356
"327","Danubyu","2004",21,1197.16906249947,25140.550312489
"328","Danubyu","2005",9,986.038004078742,8874.34203670868
"329","Danubyu","2006",17,1217.75238501677,20701.7905452851
"330","Danubyu","2007",7,1162.207500122,8135.45250085397
"331","Danubyu","2008",13,853.064540270485,11089.8390235163
"332","Danubyu","2009",16,1571.0683583057,25137.0937328912
"333","Danubyu","2010",14,1003.6451864957,14051.0326109398
"334","Danubyu","2011",27,1670.19429390914,45095.2459355468
"335","Danubyu","2012",105,1140.55365938629,119758.134235561
"336","Danubyu","2013",110,1041.55741689429,114571.315858372
"337","Danubyu","2014",92,1856.21724813687,170771.986828592
"338","Danubyu","2015",7,2852.52625353521,19967.6837747465
"339","Danubyu","2016",8,3327.53546610781,26620.2837288625
"340","Danubyu","2017",9,3944.49030643628,35500.4127579265
"341","Danubyu","2001",5,1181.59395377723,5907.96976888614
"342","Danubyu","2002",4,923.698626013286,3694.79450405315
"343","Danubyu","2003",7,1476.90450739252,10338.3315517476
"344","Danubyu","2004",23,931.369378719777,21421.4957105549
"345","Danubyu","2005",8,1292.22993664204,10337.8394931363
"346","Danubyu","2006",12,923.325893436864,11079.9107212424
"347","Danubyu","2007",4,1661.03447831523,6644.13791326091
"348","Danubyu","2008",17,1086.2836423003,18466.821919105
"349","Danubyu","2009",22,1309.19857031418,28802.368546912
"350","Danubyu","2010",17,1346.3749833684,22888.3747172628
"351","Danubyu","2011",42,1160.91522424945,48758.4394184768
"352","Danubyu","2012",128,1056.24397826602,135199.229218051
"353","Danubyu","2013",199,1035.75924737389,206116.090227404
"354","Danubyu","2014",106,1519.32193959759,161048.125597344
"355","Danubyu","2015",4,1661.8927583102,6647.57103324081
"356","Danubyu","2016",8,5354.53665233467,42836.2932186774
"357","Danubyu","2017",8,5444.95046742942,43559.6037394353
"358","Dedaye","2001",10,1411.86631676971,14118.6631676971
"359","Dedaye","2002",15,1535.10280165081,23026.5420247621
"360","Dedaye","2003",205,3369.44102520164,690735.410166336
"361","Dedaye","2004",74,2017.41965060922,149289.054145082
"362","Dedaye","2005",61,1862.95072250084,113639.994072551
"363","Dedaye","2006",83,2487.66709740454,206476.369084577
"364","Dedaye","2007",15,2327.15748415431,34907.3622623146
"365","Dedaye","2008",92,2002.12832508327,184195.805907661
"366","Dedaye","2009",63,1556.19425621056,98040.238141265
"367","Dedaye","2010",188,2425.75977576447,456042.837843721
"368","Dedaye","2011",25,1634.1050236337,40852.6255908424
"369","Dedaye","2012",175,1621.37324445556,283740.317779724
"370","Dedaye","2013",31,1606.62308469927,49805.3156256774
"371","Dedaye","2014",70,2069.83897395309,144888.728176716
"372","Dedaye","2015",4,2228.74502450352,8914.98009801407
"373","Dedaye","2016",5,4160.07632823348,20800.3816411674
"374","Dedaye","2017",3,2970.85540646774,8912.56621940322
"375","Dimawhso","2001",667,2490.992064483,1661491.70701016
"376","Dimawhso","2002",866,3171.32248623144,2746365.27307643
"377","Dimawhso","2003",1146,3266.93044508846,3743902.29007137
"378","Dimawhso","2004",1525,3265.43865818939,4979793.95373883
"379","Dimawhso","2005",283,3941.0183645851,1115308.19717758
"380","Dimawhso","2006",2711,3400.70541796897,9219312.38811388
"381","Dimawhso","2007",1435,3587.29161862209,5147763.4727227
"382","Dimawhso","2008",1173,4198.90562754992,4925316.30111605
"383","Dimawhso","2009",2385,4095.10095300546,9766815.77291803
"384","Dimawhso","2010",1625,3193.77658925685,5189886.95754238
"385","Dimawhso","2011",1101,4883.63022342622,5376876.87599227
"386","Dimawhso","2012",3172,6039.43077750762,19157074.4262542
"387","Dimawhso","2013",3554,7843.65170376116,27876338.1551672
"388","Dimawhso","2014",4585,8607.47187629511,39465258.5528131
"389","Dimawhso","2015",2213,14927.5875577116,33034751.2652157
"390","Dimawhso","2016",1947,20406.5487068077,39731550.3321547
"391","Dimawhso","2017",2534,16345.0025336187,41418236.4201899
"392","Einme","2001",10,815.231014923612,8152.31014923612
"393","Einme","2002",7,952.435466576148,6667.04826603304
"394","Einme","2003",15,1037.53940615249,15563.0910922873
"395","Einme","2004",6,988.081572022802,5928.48943213681
"396","Einme","2005",7,2011.78479676389,14082.4935773472
"397","Einme","2006",13,855.148039588671,11116.9245146527
"398","Einme","2007",6,2716.62377277615,16299.7426366569
"399","Einme","2008",17,2050.34120960786,34855.8005633337
"400","Einme","2009",17,2354.77283130246,40031.1381321418
"401","Einme","2010",13,1425.26284567228,18528.4169937396
"402","Einme","2011",17,1875.64603350978,31885.9825696663
"403","Einme","2012",56,1125.10624669838,63005.9498151092
"404","Einme","2013",25,977.752183684148,24443.8045921037
"405","Einme","2014",9,1483.10969211828,13347.9872290645
"406","Einme","2015",1,2966.71989657236,2966.71989657236
"407","Einme","2016",1,5926.43076465352,5926.43076465352
"408","Einme","2017",6,2347.95916055364,14087.7549633219
"409","Falam","2001",1564,3632.95998107807,5681949.4104061
"410","Falam","2002",2103,4118.10422028189,8660373.17525281
"411","Falam","2003",1570,4045.73843505048,6351809.34302926
"412","Falam","2004",2434,3978.13563122272,9682782.12639611
"413","Falam","2005",1696,3878.98819624452,6578763.98083071
"414","Falam","2006",1671,3392.47677299791,5668828.68767951
"415","Falam","2007",65,3149.49891140726,204717.429241472
"416","Falam","2008",1962,4569.09191798377,8964558.34308416
"417","Falam","2009",2068,3878.86892825649,8021500.94363442
"418","Falam","2010",1496,3728.84866653314,5578357.60513358
"419","Falam","2011",1354,4548.99125841015,6159334.16388734
"420","Falam","2012",3100,5167.85914699987,16020363.3556996
"421","Falam","2013",3702,5505.54791729019,20381538.3898083
"422","Falam","2014",4296,7304.09755030402,31378403.0761061
"423","Falam","2015",2976,10668.2776492683,31748794.2842225
"424","Falam","2016",4006,13011.4243588374,52123765.9815025
"425","Falam","2017",2642,12540.03857687,33130781.9200906
"426","Gangaw","2001",781,1875.2752327936,1464589.9568118
"427","Gangaw","2002",1627,2240.07135867019,3644596.1005564
"428","Gangaw","2003",1127,2549.50003180595,2873286.53584531
"429","Gangaw","2004",1983,2719.00656809179,5391790.02452602
"430","Gangaw","2005",1205,3008.82182084161,3625630.29411413
"431","Gangaw","2006",1534,3753.0247283564,5757139.93329871
"432","Gangaw","2007",2360,2948.55008364075,6958578.19739216
"433","Gangaw","2008",1922,3498.22400463863,6723586.53691545
"434","Gangaw","2009",2969,4459.28054163742,13239603.9281215
"435","Gangaw","2010",816,3278.37200224721,2675151.55383372
"436","Gangaw","2011",2744,4383.29923053237,12027773.0885808
"437","Gangaw","2012",2898,4846.09945751709,14043996.2278845
"438","Gangaw","2013",2472,3915.97751648019,9680296.42073903
"439","Gangaw","2014",3975,3922.16192068268,15590593.6347137
"440","Gangaw","2015",997,5044.58113546714,5029447.39206074
"441","Gangaw","2016",387,5709.26149277603,2209484.19770432
"442","Gangaw","2017",688,5921.52048582243,4074006.09424583
"443","Gwa","2001",1673,2054.23605526569,3436736.9204595
"444","Gwa","2002",1041,1864.8136750165,1941271.03569218
"445","Gwa","2003",584,2108.92010038029,1231609.33862209
"446","Gwa","2004",1718,2235.48879695091,3840569.75316167
"447","Gwa","2005",2294,2144.26445165767,4918942.65210268
"448","Gwa","2006",1898,2534.77387337415,4811000.81166414
"449","Gwa","2007",1530,2681.42371545746,4102578.28464991
"450","Gwa","2008",2898,2301.3667181969,6669360.74933462
"451","Gwa","2009",2611,2533.79897916918,6615749.13461073
"452","Gwa","2010",1642,2312.49393714718,3797115.04479566
"453","Gwa","2011",2341,2285.15705188032,5349552.65845183
"454","Gwa","2012",5788,1581.93537199596,9156241.9331126
"455","Gwa","2013",7647,1492.02046064938,11409480.4625858
"456","Gwa","2014",3461,2887.24556707703,9992756.90765359
"457","Gwa","2015",725,4275.29698377902,3099590.31323979
"458","Gwa","2016",992,7441.74243717058,7382208.49767322
"459","Gwa","2017",636,11564.2472172469,7354861.23016904
"460","Gyobingauk","2001",322,2260.81881232233,727983.657567791
"461","Gyobingauk","2002",242,2136.94134191372,517139.80474312
"462","Gyobingauk","2003",596,1814.12417804095,1081218.01011241
"463","Gyobingauk","2004",472,1500.07213107758,708034.045868618
"464","Gyobingauk","2005",263,1898.62635227495,499338.730648313
"465","Gyobingauk","2006",476,3605.93228512598,1716423.76771997
