"","n.cell","n.core.cell","n.edges.perimeter","n.edges.internal","area","core.area","perimeter","perim.area.ratio","shape.index","frac.dim.index","core.area.index","ID"
"1",4460.99055793991,4154.21888412017,345.945064377682,17498.017167382,4460.99055793991,4154.21888412017,345.945064377682,2.97808040952481,1.29349180948363,NA,0.0249848762060101,99
"2",3695.33223031105,3478.99139642621,246.209133024487,14535.1197882197,3695.33223031105,3478.99139642621,246.209133024487,2.93105246632883,1.28617633129196,NA,0.0245728327951137,100
"3",1776.41447562777,1629.65494830133,171.316986706056,6934.34091580502,1776.41447562777,1629.65494830133,171.316986706056,2.98757913362703,1.30740423180063,NA,0.0230740436463643,101
"4",704.835115864528,498.856506238859,236.103386809269,2583.23707664884,704.835115864528,498.856506238859,236.103386809269,2.81866300076353,1.36012817759861,NA,0.0245824327138126,102
"5",778.899618805591,519.61499364676,302.278271918679,2813.32020330369,778.899618805591,519.61499364676,302.278271918679,2.91388183119617,1.32638968598096,NA,0.0171193714166286,103
"6",3703.97817908202,3272.32279909707,504.25583145222,14311.6568848758,3703.97817908202,3272.32279909707,504.25583145222,3.00067986038368,1.33000294829528,NA,0.0159020691934355,104
"7",2358.49616858238,2112.13409961686,291.421455938697,9142.5632183908,2358.49616858238,2112.13409961686,291.421455938697,2.96573044232015,1.30408043600976,NA,0.0117646010906345,105
"8",232.425966447848,144.005105762217,105.775346462436,823.928519328957,232.425966447848,144.005105762217,105.775346462436,2.78161570673898,1.3436319725722,NA,0.0203227825597665,106
"9",564.384845288326,412.720464135021,175.755977496484,2081.78340365682,564.384845288326,412.720464135021,175.755977496484,2.66634084781963,1.36154863843225,NA,0.0330872729627608,107
"10",530.110087719298,404.130701754386,147.637280701754,1972.80307017544,530.110087719298,404.130701754386,147.637280701754,2.63268073860043,1.37661448987773,NA,0.0345203200214898,108
"11",556.714285714286,348.341836734694,244.397959183673,1982.45918367347,556.714285714286,348.341836734694,244.397959183673,2.6561682240949,1.5985187102091,NA,0.0505367663468463,109
"12",1383.59638905067,1239.53873034362,167.700640652301,5366.68491555038,1383.59638905067,1239.53873034362,167.700640652301,2.72866025153142,1.35917442809805,NA,0.0372908643620038,110
