NAME_1,NAME_2,NAME_3,loss_2011,treecover2000,percentloss
Tanintharyi,Kawthoung,Kawthaung,53480,3140789,0.017027569
Ayeyarwady,Bassein,Ngaputaw,3622,2258207,0.001603927
Ayeyarwady,Myoungmya,Labutta,65,78864,0.000824204
Ayeyarwady,Myoungmya,Myaungmya,295,225412,0.001308715
Ayeyarwady,Myoungmya,Wakema,42,17986,0.00233515
Rakhine,Maungtaw,Maungdaw,11845,1296413,0.009136749
Rakhine,Buthidaung,Buthidaung,8364,2160957,0.003870507
Rakhine,Buthidaung,Ponnagyun & Rathedaung,6591,1031589,0.006389172
Rakhine,Buthidaung,Sittwe (Akyab),3,2179,0.001376778
Rakhine,Sittwe,Pauktaw,1807,199933,0.009038028
Rakhine,Sittwe,Myebon,5626,1624717,0.003462757
Rakhine,Kyaunkpyu,Kyaukpyu,1598,587306,0.002720898
Rakhine,Kyaunkpyu,An,16890,8382837,0.002014831
Rakhine,Sittwe,Minbya,13051,3658938,0.003566882
Rakhine,Sittwe,Mrauk-Oo,6251,603619,0.01035587
Chin,Mindat,Paletwa,16638,12225679,0.001360906
Chin,Mindat,Kanpetlet,6551,2850034,0.002298569
Rakhine,Sittwe,Kyauktaw,3867,1475443,0.002620908
Chin,Mindat,Matupi,8305,6387534,0.001300189
Chin,Palam,Thlangtlang,24716,4675850,0.005285884
Chin,Palam,Haka,6912,4694623,0.001472323
Chin,Mindat,Mindat,13073,4717849,0.002770966
Magway,Pakokku,Saw,6860,1787752,0.003837221
Magway,Pakokku,Seikpyu,1037,225644,0.004595735
Magway,Pakokku,Pauk,4054,569137,0.007123065
Magway,Pakokku,Htilin,2069,930198,0.002224258
Magway,Pakokku,Gangaw,12145,1661654,0.007308982
Sagaing,Kalemyo,Kale,9728,2412434,0.004032442
Sagaing,Kalemyo,Mingin,2847,3471362,0.000820139
Sagaing,Monywa,Kani,8072,2650588,0.003045362
Sagaing,Monywa,Pale,2833,673174,0.004208422
Magway,Pakokku,Myaing,57,4848,0.011757426
Sagaing,Monywa,Yinmabin,161,24038,0.006697729
Sagaing,Monywa,Budalin,5,4327,0.001155535
Sagaing,Monywa,Monywa,2,709,0.002820874
Sagaing,Monywa,Salingyi,24,1731,0.013864818
Magway,Pakokku,Yesagyo,4,2253,0.001775411
Magway,Pakokku,Pakokku,5,975,0.005128205
Mandalay,Myingyan,Nyaungu,1,308,0.003246753
Mandalay,Myingyan,Kyaukpadaung,7,76372,9.16566E-05
Magway,Magwe Minbu,Chauk,1,338,0.00295858
Magway,Minbu,Salin,1574,464085,0.00339162
Magway,Magwe Minbu,Yenangyaung,0,111,0
Magway,Magwe Minbu,Magwe,0,150,0
Magway,Minbu,Minbu (Sagu),943,93038,0.010135644
Magway,Minbu,Pwinbyu,1103,209815,0.005257012
Magway,Minbu,Sidoktaya,11126,2863453,0.003885519
Magway,Minbu,Ngape,1938,880920,0.002199973
Magway,Thayetmyo,Minhla,2114,720876,0.002932543
Magway,Thayetmyo,Mindon,2880,2155693,0.001335997
Magway,Thayetmyo,Sinbaungwe (Tantabin),592,191828,0.003086098
Magway,Thayetmyo,Thayet,354,131013,0.002702022
Magway,Thayetmyo,Kama,686,608776,0.001126851
Rakhine,Thandwe,Taungup,10375,5478524,0.001893758
Rakhine,Thandwe,Arakan (Sandoway),5967,4649772,0.001283289
Bago,Pyay,Padaung,1529,1760537,0.000868485
Bago,Pyay,Shwedaung,132,50887,0.002593983
Ayeyarwady,Hinthada,Kyangin,391,470713,0.000830655
Ayeyarwady,Hinthada,Myanaung,731,694854,0.00105202
Ayeyarwady,Hinthada,Ingapu,1491,875065,0.001703873
Rakhine,Thandwe,Gwa,6242,3113144,0.002005047
Rakhine,Kyaunkpyu,Man Aung,32,252183,0.000126892
Rakhine,Kyaunkpyu,Ramree,2429,917803,0.002646537
Ayeyarwady,Bassein,Bassein West,10743,1121269,0.009581109
Ayeyarwady,Bassein,Thabaung,2119,1591547,0.001331409
Ayeyarwady,Hinthada,Lemyethna,2326,585055,0.003975695
Ayeyarwady,Bassein,Yegyi,453,453532,0.000998827
Ayeyarwady,Bassein,Kyonpyaw,57,87870,0.000648686
Ayeyarwady,Bassein,Kyaunggon,17,20394,0.000833579
Ayeyarwady,Myoungmya,Einme,6,32902,0.00018236
Ayeyarwady,Myoungmya,Moulmeingyun,17,10347,0.001642988
Ayeyarwady,Maubin,Pantanaw,338,136447,0.002477152
Ayeyarwady,Pharpon,Kyaiklat,20,24235,0.000825253
Ayeyarwady,Maubin,Ma-Ubin,16,20191,0.000792432
Ayeyarwady,Maubin,Irrawaddy,25,25431,0.000983052
Ayeyarwady,Maubin,Yandoon,46,58093,0.000791834
Ayeyarwady,Maubin,Danubyu,9,46895,0.000191918
Yangon,Yangon-N,Taikkyi,5,29022,0.000172283
Ayeyarwady,Hinthada,Henzada,28,76335,0.000366804
Ayeyarwady,Hinthada,Danubyu,31,56837,0.000545419
Bago,Thayarwady,Minhla,1831,1072069,0.001707912
Ayeyarwady,Hinthada,Zalun,37,40527,0.000912972
Bago,Thayarwady,Monyo,5,17778,0.000281246
Bago,Thayarwady,Tharrawaddy,23,19361,0.001187955
Yangon,Yangon-N,Hmawbi,2799,738893,0.003788099
Yangon,Yangon-N,Hlegu,5541,867395,0.006388093
Bago,Thayarwady,Letpatan,874,609211,0.001434643
Bago,Pegu,Bago (Pegu),30739,2458344,0.012503946
Bago,Pegu,Kyauktaga,8100,2811773,0.002880745
Bago,Pegu,Daik-U,4002,467487,0.008560666
Bago,Pegu,Kawa,0,15215,0
Yangon,Yangon-S,Kayan,0,4798,0
Yangon,Yangon-S,Syriam,2,2559,0.000781555
Yangon,Yangon-E,Yangon (Rangoon),41,2381,0.017219656
Yangon,Yangon-W,Yangon (Rangoon),12,5167,0.002322431
Yangon,Yangon-N,Htantabin,0,3599,0
Yangon,Yangon-S,Insein,35,11756,0.002977203
Yangon,Yangon-S,Kawkhmu,610,185181,0.003294074
Ayeyarwady,Pharpon,Dedaye,4,13432,0.000297796
Yangon,Yangon-S,Kungyangon,84,64359,0.001305179
Yangon,Yangon-S,Kyauktan,38,3667,0.010362694
Yangon,Yangon-S,Thongwa,0,2050,0
Bago,Pegu,Thanatpin,1,9451,0.000105809
Mon,Thaton,Bilin,6524,1877036,0.003475693
Mon,Thaton,Paung,2572,240921,0.010675699
Mon,Mawlamyine,Chaungzon,343,57547,0.005960345
Mon,Mawlamyine,Moulmein,105,15320,0.006853786
Mon,Mawlamyine,Mudon,2495,257485,0.009689885
Mon,Mawlamyine,Kyaikmaraw,14356,556959,0.025775685
Kayin,Kawkareik,Pa-An,13601,1419591,0.009580929
Mon,Thaton,Thaton,3969,631416,0.006285872
Kayin,Kawkareik,Hlaingbwe,16679,4235041,0.003938333
Mon,Thaton,Kyaikto,6502,871958,0.007456781
