NAME_1,NAME_2,NAME_3,loss_2015,treecover2000,percentloss
Tanintharyi,Kawthoung,Kawthaung,33604,3140789,0.010699222
Ayeyarwady,Bassein,Ngaputaw,5112,2258207,0.002263743
Ayeyarwady,Myoungmya,Labutta,2,78864,2.53601E-05
Ayeyarwady,Myoungmya,Myaungmya,947,225412,0.004201196
Ayeyarwady,Myoungmya,Wakema,2,17986,0.000111198
Rakhine,Maungtaw,Maungdaw,15339,1296413,0.011831878
Rakhine,Buthidaung,Buthidaung,29563,2160957,0.013680513
Rakhine,Buthidaung,Ponnagyun & Rathedaung,6118,1031589,0.005930656
Rakhine,Buthidaung,Sittwe (Akyab),0,2179,0
Rakhine,Sittwe,Pauktaw,369,199933,0.001845618
Rakhine,Sittwe,Myebon,3213,1624717,0.001977575
Rakhine,Kyaunkpyu,Kyaukpyu,1981,587306,0.003373029
Rakhine,Kyaunkpyu,An,57548,8382837,0.006864979
Rakhine,Sittwe,Minbya,9598,3658938,0.002623166
Rakhine,Sittwe,Mrauk-Oo,4025,603619,0.006668113
Chin,Mindat,Paletwa,186794,12225679,0.015278824
Chin,Mindat,Kanpetlet,23249,2850034,0.008157447
Rakhine,Sittwe,Kyauktaw,4972,1475443,0.003369835
Chin,Mindat,Matupi,40662,6387534,0.006365837
Chin,Palam,Thlangtlang,72784,4675850,0.01556594
Chin,Palam,Haka,26130,4694623,0.005565942
Chin,Mindat,Mindat,63188,4717849,0.013393392
Magway,Pakokku,Saw,7442,1787752,0.00416277
Magway,Pakokku,Seikpyu,95,225644,0.000421017
Magway,Pakokku,Pauk,329,569137,0.000578068
Magway,Pakokku,Htilin,2948,930198,0.003169218
Magway,Pakokku,Gangaw,4429,1661654,0.002665417
Sagaing,Kalemyo,Kale,5033,2412434,0.002086275
Sagaing,Kalemyo,Mingin,1090,3471362,0.000313998
Sagaing,Monywa,Kani,1053,2650588,0.00039727
Sagaing,Monywa,Pale,1607,673174,0.002387199
Magway,Pakokku,Myaing,32,4848,0.00660066
Sagaing,Monywa,Yinmabin,10,24038,0.000416008
Sagaing,Monywa,Budalin,0,4327,0
Sagaing,Monywa,Monywa,5,709,0.007052186
Sagaing,Monywa,Salingyi,32,1731,0.018486424
Magway,Pakokku,Yesagyo,2,2253,0.000887705
Magway,Pakokku,Pakokku,6,975,0.006153846
Mandalay,Myingyan,Nyaungu,10,308,0.032467532
Mandalay,Myingyan,Kyaukpadaung,0,76372,0
Magway,Magwe Minbu,Chauk,0,338,0
Magway,Minbu,Salin,1444,464085,0.003111499
Magway,Magwe Minbu,Yenangyaung,0,111,0
Magway,Magwe Minbu,Magwe,0,150,0
Magway,Minbu,Minbu (Sagu),0,93038,0
Magway,Minbu,Pwinbyu,94,209815,0.000448014
Magway,Minbu,Sidoktaya,11379,2863453,0.003973874
Magway,Minbu,Ngape,8546,880920,0.009701221
Magway,Thayetmyo,Minhla,6079,720876,0.008432796
Magway,Thayetmyo,Mindon,6757,2155693,0.003134491
Magway,Thayetmyo,Sinbaungwe (Tantabin),250,191828,0.001303251
Magway,Thayetmyo,Thayet,13,131013,9.92268E-05
Magway,Thayetmyo,Kama,518,608776,0.000850888
Rakhine,Thandwe,Taungup,9342,5478524,0.001705204
Rakhine,Thandwe,Arakan (Sandoway),5588,4649772,0.001201779
Bago,Pyay,Padaung,870,1760537,0.000494167
Bago,Pyay,Shwedaung,69,50887,0.001355946
Ayeyarwady,Hinthada,Kyangin,116,470713,0.000246435
Ayeyarwady,Hinthada,Myanaung,179,694854,0.000257608
Ayeyarwady,Hinthada,Ingapu,657,875065,0.000750801
Rakhine,Thandwe,Gwa,3413,3113144,0.001096319
Rakhine,Kyaunkpyu,Man Aung,127,252183,0.000503603
Rakhine,Kyaunkpyu,Ramree,1642,917803,0.001789055
Ayeyarwady,Bassein,Bassein West,10187,1121269,0.009085242
Ayeyarwady,Bassein,Thabaung,3825,1591547,0.002403322
Ayeyarwady,Hinthada,Lemyethna,968,585055,0.001654545
Ayeyarwady,Bassein,Yegyi,420,453532,0.000926065
Ayeyarwady,Bassein,Kyonpyaw,7,87870,7.96631E-05
