NAME_1,NAME_2,NAME_3,loss_2003,treecover2000,percentloss
Tanintharyi,Kawthoung,Kawthaung,20399,3140789,0.006494865
Ayeyarwady,Bassein,Ngaputaw,752,2258207,0.000333008
Ayeyarwady,Myoungmya,Labutta,17,78864,0.000215561
Ayeyarwady,Myoungmya,Myaungmya,20,225412,8.87264E-05
Ayeyarwady,Myoungmya,Wakema,27,17986,0.001501168
Rakhine,Maungtaw,Maungdaw,2030,1296413,0.001565859
Rakhine,Buthidaung,Buthidaung,2800,2160957,0.001295722
Rakhine,Buthidaung,Ponnagyun & Rathedaung,2435,1031589,0.002360436
Rakhine,Buthidaung,Sittwe (Akyab),0,2179,0
Rakhine,Sittwe,Pauktaw,575,199933,0.002875963
Rakhine,Sittwe,Myebon,5451,1624717,0.003355046
Rakhine,Kyaunkpyu,Kyaukpyu,1276,587306,0.002172632
Rakhine,Kyaunkpyu,An,10344,8382837,0.00123395
Rakhine,Sittwe,Minbya,2747,3658938,0.000750764
Rakhine,Sittwe,Mrauk-Oo,765,603619,0.001267356
Chin,Mindat,Paletwa,10859,12225679,0.000888212
Chin,Mindat,Kanpetlet,1906,2850034,0.000668764
Rakhine,Sittwe,Kyauktaw,1595,1475443,0.001081031
Chin,Mindat,Matupi,6620,6387534,0.001036394
Chin,Palam,Thlangtlang,20530,4675850,0.004390646
Chin,Palam,Haka,7374,4694623,0.001570733
Chin,Mindat,Mindat,8894,4717849,0.001885181
Magway,Pakokku,Saw,4764,1787752,0.002664799
Magway,Pakokku,Seikpyu,904,225644,0.004006311
Magway,Pakokku,Pauk,2297,569137,0.004035935
Magway,Pakokku,Htilin,1416,930198,0.001522257
Magway,Pakokku,Gangaw,2932,1661654,0.001764507
Sagaing,Kalemyo,Kale,1315,2412434,0.000545093
Sagaing,Kalemyo,Mingin,1176,3471362,0.000338772
Sagaing,Monywa,Kani,1962,2650588,0.000740213
Sagaing,Monywa,Pale,1679,673174,0.002494155
Magway,Pakokku,Myaing,23,4848,0.004744224
Sagaing,Monywa,Yinmabin,84,24038,0.003494467
Sagaing,Monywa,Budalin,12,4327,0.002773284
Sagaing,Monywa,Monywa,2,709,0.002820874
Sagaing,Monywa,Salingyi,1,1731,0.000577701
Magway,Pakokku,Yesagyo,9,2253,0.003994674
Magway,Pakokku,Pakokku,32,975,0.032820513
Mandalay,Myingyan,Nyaungu,0,308,0
Mandalay,Myingyan,Kyaukpadaung,15,76372,0.000196407
Magway,Magwe Minbu,Chauk,0,338,0
Magway,Minbu,Salin,1976,464085,0.004257841
Magway,Magwe Minbu,Yenangyaung,0,111,0
Magway,Magwe Minbu,Magwe,0,150,0
Magway,Minbu,Minbu (Sagu),447,93038,0.004804488
Magway,Minbu,Pwinbyu,442,209815,0.002106618
Magway,Minbu,Sidoktaya,5127,2863453,0.001790496
Magway,Minbu,Ngape,1669,880920,0.00189461
Magway,Thayetmyo,Minhla,1593,720876,0.002209811
Magway,Thayetmyo,Mindon,2158,2155693,0.00100107
Magway,Thayetmyo,Sinbaungwe (Tantabin),367,191828,0.001913172
Magway,Thayetmyo,Thayet,372,131013,0.002839413
Magway,Thayetmyo,Kama,1625,608776,0.002669291
Rakhine,Thandwe,Taungup,6972,5478524,0.001272606
Rakhine,Thandwe,Arakan (Sandoway),1399,4649772,0.000300875
Bago,Pyay,Padaung,561,1760537,0.000318653
Bago,Pyay,Shwedaung,35,50887,0.000687798
Ayeyarwady,Hinthada,Kyangin,85,470713,0.000180577
Ayeyarwady,Hinthada,Myanaung,101,694854,0.000145354
Ayeyarwady,Hinthada,Ingapu,589,875065,0.000673093
Rakhine,Thandwe,Gwa,1417,3113144,0.000455167
Rakhine,Kyaunkpyu,Man Aung,14,252183,5.55152E-05
Rakhine,Kyaunkpyu,Ramree,2125,917803,0.002315312
Ayeyarwady,Bassein,Bassein West,2679,1121269,0.002389257
Ayeyarwady,Bassein,Thabaung,2059,1591547,0.00129371
Ayeyarwady,Hinthada,Lemyethna,117,585055,0.000199981
Ayeyarwady,Bassein,Yegyi,55,453532,0.00012127
Ayeyarwady,Bassein,Kyonpyaw,11,87870,0.000125185
Ayeyarwady,Bassein,Kyaunggon,9,20394,0.000441306
Ayeyarwady,Myoungmya,Einme,11,32902,0.000334326
Ayeyarwady,Myoungmya,Moulmeingyun,7,10347,0.000676525
Ayeyarwady,Maubin,Pantanaw,30,136447,0.000219866
Ayeyarwady,Pharpon,Kyaiklat,5,24235,0.000206313
Ayeyarwady,Maubin,Ma-Ubin,7,20191,0.000346689
Ayeyarwady,Maubin,Irrawaddy,5,25431,0.00019661
Ayeyarwady,Maubin,Yandoon,29,58093,0.0004992
Ayeyarwady,Maubin,Danubyu,2,46895,4.26485E-05
Yangon,Yangon-N,Taikkyi,3,29022,0.00010337
Ayeyarwady,Hinthada,Henzada,8,76335,0.000104801
Ayeyarwady,Hinthada,Danubyu,4,56837,7.03767E-05
Bago,Thayarwady,Minhla,538,1072069,0.000501833
Ayeyarwady,Hinthada,Zalun,5,40527,0.000123375
Bago,Thayarwady,Monyo,1,17778,5.62493E-05
Bago,Thayarwady,Tharrawaddy,8,19361,0.000413202
Yangon,Yangon-N,Hmawbi,280,738893,0.000378945
Yangon,Yangon-N,Hlegu,923,867395,0.001064106
