region,district,township,loss,treecover2000,percentloss,year
Bago,Thayarwady,Minhla,1075,1072069,0.001002734,2001
Ayeyarwady,Hinthada,Zalun,3,40527,7.40247e-5,2001
Bago,Thayarwady,Monyo,0,17778,0,2001
Bago,Thayarwady,Tharrawaddy,5,19361,2.58251e-4,2001
Yangon,Yangon-N,Hmawbi,391,738893,5.2917e-4,2001
Yangon,Yangon-N,Hlegu,605,867395,6.97491e-4,2001
Bago,Thayarwady,Letpatan,2852,609211,0.004681465,2001
Bago,Pegu,Bago (Pegu),1258,2458344,5.11727e-4,2001
Bago,Pegu,Kyauktaga,1663,2811773,5.91442e-4,2001
Bago,Pegu,Daik-U,1552,467487,0.003319878,2001
Bago,Pegu,Kawa,0,15215,0,2001
Yangon,Yangon-S,Kayan,0,4798,0,2001
Yangon,Yangon-S,Syriam,0,2559,0,2001
Yangon,Yangon-E,Yangon (Rangoon),0,2381,0,2001
Yangon,Yangon-W,Yangon (Rangoon),1,5167,1.93536e-4,2001
Yangon,Yangon-N,Htantabin,5,3599,0.001389275,2001
Yangon,Yangon-S,Insein,13,11756,0.001105818,2001
Yangon,Yangon-S,Kawkhmu,27,185181,1.45803e-4,2001
Ayeyarwady,Pharpon,Dedaye,19,13432,0.001414532,2001
Yangon,Yangon-S,Kungyangon,0,64359,0,2001
Yangon,Yangon-S,Kyauktan,0,3667,0,2001
Yangon,Yangon-S,Thongwa,0,2050,0,2001
Bago,Pegu,Thanatpin,3,9451,3.17427e-4,2001
Mon,Thaton,Bilin,1593,1877036,8.48678e-4,2001
Mon,Thaton,Paung,742,240921,0.003079848,2001
Mon,Mawlamyine,Chaungzon,78,57547,0.001355414,2001
Mon,Mawlamyine,Moulmein,9,15320,5.87467e-4,2001
Mon,Mawlamyine,Mudon,435,257485,0.001689419,2001
Mon,Mawlamyine,Kyaikmaraw,1049,556959,0.001883442,2001
Kayin,Kawkareik,Pa-An,1551,1419591,0.001092568,2001
Mon,Thaton,Thaton,285,631416,4.51366e-4,2001
Kayin,Kawkareik,Hlaingbwe,4548,4235041,0.001073898,2001
Mon,Thaton,Kyaikto,589,871958,6.75491e-4,2001
Bago,Pegu,Shwegyin,2306,2804952,8.22117e-4,2001
Kayin,Kawkareik,Papun,14822,8723762,0.001699038,2001
Bago,Pegu,Nyaungiebin,10,21410,4.67071e-4,2001
Bago,Pegu,Waw,0,16993,0,2001
Bago,Taungoo,Pyu,371,1819751,2.03874e-4,2001
Bago,Taungoo,Kyaukki,1185,2323858,5.09928e-4,2001
Bago,Taungoo,Oktwin,432,1286045,3.35914e-4,2001
Bago,Taungoo,Tantabin,64,143523,4.45922e-4,2001
Kayin,Kawkareik,Thandaung,5338,4749629,0.001123877,2001
