NAME_1,NAME_2,NAME_3,loss_2008,treecover2000,percentloss
Tanintharyi,Kawthoung,Kawthaung,30844,3140789,0.009820462
Ayeyarwady,Bassein,Ngaputaw,5340,2258207,0.002364708
Ayeyarwady,Myoungmya,Labutta,134,78864,0.001699128
Ayeyarwady,Myoungmya,Myaungmya,337,225412,0.00149504
Ayeyarwady,Myoungmya,Wakema,33,17986,0.00183476
Rakhine,Maungtaw,Maungdaw,5968,1296413,0.004603471
Rakhine,Buthidaung,Buthidaung,6059,2160957,0.00280385
Rakhine,Buthidaung,Ponnagyun & Rathedaung,4184,1031589,0.004055879
Rakhine,Buthidaung,Sittwe (Akyab),0,2179,0
Rakhine,Sittwe,Pauktaw,735,199933,0.003676232
Rakhine,Sittwe,Myebon,26408,1624717,0.016253908
Rakhine,Kyaunkpyu,Kyaukpyu,6367,587306,0.010841027
Rakhine,Kyaunkpyu,An,23165,8382837,0.002763384
Rakhine,Sittwe,Minbya,4079,3658938,0.001114804
Rakhine,Sittwe,Mrauk-Oo,1289,603619,0.002135453
Chin,Mindat,Paletwa,12813,12225679,0.00104804
Chin,Mindat,Kanpetlet,5826,2850034,0.002044186
Rakhine,Sittwe,Kyauktaw,3365,1475443,0.002280671
Chin,Mindat,Matupi,7350,6387534,0.001150679
Chin,Palam,Thlangtlang,30591,4675850,0.00654234
Chin,Palam,Haka,7986,4694623,0.001701095
Chin,Mindat,Mindat,12976,4717849,0.002750406
Magway,Pakokku,Saw,12390,1787752,0.006930491
Magway,Pakokku,Seikpyu,2249,225644,0.009967028
Magway,Pakokku,Pauk,7770,569137,0.013652249
Magway,Pakokku,Htilin,3124,930198,0.003358425
Magway,Pakokku,Gangaw,6524,1661654,0.003926208
Sagaing,Kalemyo,Kale,3581,2412434,0.001484393
Sagaing,Kalemyo,Mingin,2574,3471362,0.000741496
Sagaing,Monywa,Kani,6226,2650588,0.002348913
Sagaing,Monywa,Pale,5161,673174,0.007666666
Magway,Pakokku,Myaing,26,4848,0.005363036
Sagaing,Monywa,Yinmabin,291,24038,0.012105832
Sagaing,Monywa,Budalin,24,4327,0.005546568
Sagaing,Monywa,Monywa,12,709,0.016925247
Sagaing,Monywa,Salingyi,7,1731,0.004043905
Magway,Pakokku,Yesagyo,6,2253,0.002663116
Magway,Pakokku,Pakokku,39,975,0.04
Mandalay,Myingyan,Nyaungu,0,308,0
Mandalay,Myingyan,Kyaukpadaung,16,76372,0.000209501
Magway,Magwe Minbu,Chauk,0,338,0
Magway,Minbu,Salin,5879,464085,0.012667938
Magway,Magwe Minbu,Yenangyaung,1,111,0.009009009
Magway,Magwe Minbu,Magwe,3,150,0.02
Magway,Minbu,Minbu (Sagu),1607,93038,0.017272512
Magway,Minbu,Pwinbyu,2061,209815,0.009822939
Magway,Minbu,Sidoktaya,18484,2863453,0.006455143
Magway,Minbu,Ngape,2188,880920,0.002483767
Magway,Thayetmyo,Minhla,1904,720876,0.002641231
Magway,Thayetmyo,Mindon,3159,2155693,0.001465422
Magway,Thayetmyo,Sinbaungwe (Tantabin),1074,191828,0.005598766
Magway,Thayetmyo,Thayet,482,131013,0.003679024
Magway,Thayetmyo,Kama,1856,608776,0.00304874
Rakhine,Thandwe,Taungup,30767,5478524,0.005615929
Rakhine,Thandwe,Arakan (Sandoway),5515,4649772,0.00118608
Bago,Pyay,Padaung,703,1760537,0.00039931
Bago,Pyay,Shwedaung,146,50887,0.002869102
Ayeyarwady,Hinthada,Kyangin,228,470713,0.000484372
Ayeyarwady,Hinthada,Myanaung,218,694854,0.000313735
Ayeyarwady,Hinthada,Ingapu,811,875065,0.000926788
Rakhine,Thandwe,Gwa,8015,3113144,0.002574568
Rakhine,Kyaunkpyu,Man Aung,34,252183,0.000134823
Rakhine,Kyaunkpyu,Ramree,6059,917803,0.006601635
Ayeyarwady,Bassein,Bassein West,8892,1121269,0.0079303
Ayeyarwady,Bassein,Thabaung,2998,1591547,0.001883702
Ayeyarwady,Hinthada,Lemyethna,372,585055,0.000635838
Ayeyarwady,Bassein,Yegyi,263,453532,0.000579893
Ayeyarwady,Bassein,Kyonpyaw,15,87870,0.000170707
Ayeyarwady,Bassein,Kyaunggon,5,20394,0.00024517
Ayeyarwady,Myoungmya,Einme,4,32902,0.000121573
Ayeyarwady,Myoungmya,Moulmeingyun,15,10347,0.001449696
Ayeyarwady,Maubin,Pantanaw,106,136447,0.000776858
Ayeyarwady,Pharpon,Kyaiklat,20,24235,0.000825253
Ayeyarwady,Maubin,Ma-Ubin,14,20191,0.000693378
Ayeyarwady,Maubin,Irrawaddy,20,25431,0.000786442
Ayeyarwady,Maubin,Yandoon,22,58093,0.000378703
Ayeyarwady,Maubin,Danubyu,4,46895,8.52969E-05
Yangon,Yangon-N,Taikkyi,5,29022,0.000172283
Ayeyarwady,Hinthada,Henzada,19,76335,0.000248903
Ayeyarwady,Hinthada,Danubyu,2,56837,3.51883E-05
Bago,Thayarwady,Minhla,403,1072069,0.000375909
Ayeyarwady,Hinthada,Zalun,21,40527,0.000518173
Bago,Thayarwady,Monyo,12,17778,0.000674992
Bago,Thayarwady,Tharrawaddy,3,19361,0.000154951
Yangon,Yangon-N,Hmawbi,704,738893,0.000952777
Yangon,Yangon-N,Hlegu,1673,867395,0.001928764
Bago,Thayarwady,Letpatan,285,609211,0.000467818
Bago,Pegu,Bago (Pegu),6466,2458344,0.002630226
Bago,Pegu,Kyauktaga,3223,2811773,0.001146252
Bago,Pegu,Daik-U,1871,467487,0.00400225
Bago,Pegu,Kawa,6,15215,0.000394348
Yangon,Yangon-S,Kayan,0,4798,0
Yangon,Yangon-S,Syriam,19,2559,0.007424775
Yangon,Yangon-E,Yangon (Rangoon),1,2381,0.000419992
Yangon,Yangon-W,Yangon (Rangoon),17,5167,0.00329011
Yangon,Yangon-N,Htantabin,2,3599,0.00055571
Yangon,Yangon-S,Insein,10,11756,0.000850629
Yangon,Yangon-S,Kawkhmu,827,185181,0.004465901
Ayeyarwady,Pharpon,Dedaye,12,13432,0.000893389
Yangon,Yangon-S,Kungyangon,267,64359,0.004148604
Yangon,Yangon-S,Kyauktan,5,3667,0.001363512
Yangon,Yangon-S,Thongwa,0,2050,0
Bago,Pegu,Thanatpin,1,9451,0.000105809
Mon,Thaton,Bilin,6650,1877036,0.00354282
Mon,Thaton,Paung,726,240921,0.003013436
Mon,Mawlamyine,Chaungzon,239,57547,0.004153127
Mon,Mawlamyine,Moulmein,21,15320,0.001370757
Mon,Mawlamyine,Mudon,767,257485,0.002978814
Mon,Mawlamyine,Kyaikmaraw,9040,556959,0.016230997
Kayin,Kawkareik,Pa-An,9580,1419591,0.006748423
Mon,Thaton,Thaton,2472,631416,0.00391501
Kayin,Kawkareik,Hlaingbwe,11471,4235041,0.002708592
Mon,Thaton,Kyaikto,7771,871958,0.008912127
Bago,Pegu,Shwegyin,13306,2804952,0.004743753
Kayin,Kawkareik,Papun,29845,8723762,0.003421116
Bago,Pegu,Nyaungiebin,18,21410,0.000840729
Bago,Pegu,Waw,3,16993,0.000176543
Bago,Taungoo,Pyu,2057,1819751,0.001130374
Bago,Taungoo,Kyaukki,4764,2323858,0.002050039
Bago,Taungoo,Oktwin,2428,1286045,0.001887959
Bago,Taungoo,Tantabin,551,143523,0.003839106
Kayin,Kawkareik,Thandaung,5565,4749629,0.00117167
Kayah,Bawlake,Pasawng,2279,4227571,0.00053908
Kayah,Bawlake,Bawlakhe,4690,2291745,0.002046476
Kayah,Loikaw,Hsataw,2298,2785146,0.000825091
Kayah,Loikaw,Loi-Kaw,1618,753318,0.002147831
Kayah,Loikaw,Dimawhso,1029,628872,0.001636263
