NAME_1,NAME_2,NAME_3,loss_2006,treecover2000,percentloss
Tanintharyi,Kawthoung,Kawthaung,21952,3140789,0.006989327
Ayeyarwady,Bassein,Ngaputaw,3493,2258207,0.001546802
Ayeyarwady,Myoungmya,Labutta,174,78864,0.00220633
Ayeyarwady,Myoungmya,Myaungmya,120,225412,0.000532359
Ayeyarwady,Myoungmya,Wakema,25,17986,0.00138997
Rakhine,Maungtaw,Maungdaw,1659,1296413,0.001279685
Rakhine,Buthidaung,Buthidaung,1899,2160957,0.000878777
Rakhine,Buthidaung,Ponnagyun & Rathedaung,516,1031589,0.000500199
Rakhine,Buthidaung,Sittwe (Akyab),0,2179,0
Rakhine,Sittwe,Pauktaw,615,199933,0.00307603
Rakhine,Sittwe,Myebon,16607,1624717,0.010221472
Rakhine,Kyaunkpyu,Kyaukpyu,3173,587306,0.005402635
Rakhine,Kyaunkpyu,An,20181,8382837,0.002407419
Rakhine,Sittwe,Minbya,4691,3658938,0.001282066
Rakhine,Sittwe,Mrauk-Oo,405,603619,0.000670953
Chin,Mindat,Paletwa,8012,12225679,0.000655342
Chin,Mindat,Kanpetlet,6105,2850034,0.00214208
Rakhine,Sittwe,Kyauktaw,2010,1475443,0.001362303
Chin,Mindat,Matupi,7612,6387534,0.001191696
Chin,Palam,Thlangtlang,14448,4675850,0.003089919
Chin,Palam,Haka,7294,4694623,0.001553692
Chin,Mindat,Mindat,11776,4717849,0.002496053
Magway,Pakokku,Saw,9619,1787752,0.0053805
Magway,Pakokku,Seikpyu,1132,225644,0.005016752
Magway,Pakokku,Pauk,6204,569137,0.010900715
Magway,Pakokku,Htilin,2802,930198,0.003012262
Magway,Pakokku,Gangaw,5369,1661654,0.003231118
Sagaing,Kalemyo,Kale,5093,2412434,0.002111146
Sagaing,Kalemyo,Mingin,2260,3471362,0.000651041
Sagaing,Monywa,Kani,10229,2650588,0.003859144
Sagaing,Monywa,Pale,4286,673174,0.006366853
Magway,Pakokku,Myaing,30,4848,0.006188119
Sagaing,Monywa,Yinmabin,508,24038,0.021133206
Sagaing,Monywa,Budalin,18,4327,0.004159926
Sagaing,Monywa,Monywa,6,709,0.008462623
Sagaing,Monywa,Salingyi,7,1731,0.004043905
Magway,Pakokku,Yesagyo,12,2253,0.005326232
Magway,Pakokku,Pakokku,34,975,0.034871795
Mandalay,Myingyan,Nyaungu,0,308,0
Mandalay,Myingyan,Kyaukpadaung,80,76372,0.001047504
Magway,Magwe Minbu,Chauk,1,338,0.00295858
Magway,Minbu,Salin,1899,464085,0.004091923
Magway,Magwe Minbu,Yenangyaung,20,111,0.18018018
Magway,Magwe Minbu,Magwe,2,150,0.013333333
Magway,Minbu,Minbu (Sagu),519,93038,0.005578366
Magway,Minbu,Pwinbyu,624,209815,0.002974049
Magway,Minbu,Sidoktaya,11357,2863453,0.00396619
Magway,Minbu,Ngape,1440,880920,0.001634655
Magway,Thayetmyo,Minhla,1819,720876,0.002523319
Magway,Thayetmyo,Mindon,2457,2155693,0.001139773
Magway,Thayetmyo,Sinbaungwe (Tantabin),489,191828,0.002549159
Magway,Thayetmyo,Thayet,196,131013,0.001496035
Magway,Thayetmyo,Kama,699,608776,0.001148206
Rakhine,Thandwe,Taungup,8460,5478524,0.001544212
Rakhine,Thandwe,Arakan (Sandoway),3660,4649772,0.000787135
Bago,Pyay,Padaung,521,1760537,0.000295932
Bago,Pyay,Shwedaung,65,50887,0.00127734
Ayeyarwady,Hinthada,Kyangin,606,470713,0.001287409
Ayeyarwady,Hinthada,Myanaung,387,694854,0.000556952
Ayeyarwady,Hinthada,Ingapu,251,875065,0.000286836
Rakhine,Thandwe,Gwa,5934,3113144,0.001906112
Rakhine,Kyaunkpyu,Man Aung,164,252183,0.000650321
Rakhine,Kyaunkpyu,Ramree,4968,917803,0.005412926
Ayeyarwady,Bassein,Bassein West,7478,1121269,0.006669229
Ayeyarwady,Bassein,Thabaung,4460,1591547,0.002802305
Ayeyarwady,Hinthada,Lemyethna,150,585055,0.000256386
Ayeyarwady,Bassein,Yegyi,106,453532,0.000233721
Ayeyarwady,Bassein,Kyonpyaw,15,87870,0.000170707
Ayeyarwady,Bassein,Kyaunggon,2,20394,9.80681E-05
Ayeyarwady,Myoungmya,Einme,5,32902,0.000151966
Ayeyarwady,Myoungmya,Moulmeingyun,8,10347,0.000773171
Ayeyarwady,Maubin,Pantanaw,59,136447,0.000432402
Ayeyarwady,Pharpon,Kyaiklat,20,24235,0.000825253
Ayeyarwady,Maubin,Ma-Ubin,12,20191,0.000594324
Ayeyarwady,Maubin,Irrawaddy,18,25431,0.000707798
Ayeyarwady,Maubin,Yandoon,27,58093,0.000464772
Ayeyarwady,Maubin,Danubyu,13,46895,0.000277215
Yangon,Yangon-N,Taikkyi,7,29022,0.000241196
Ayeyarwady,Hinthada,Henzada,10,76335,0.000131002
Ayeyarwady,Hinthada,Danubyu,2,56837,3.51883E-05
Bago,Thayarwady,Minhla,1015,1072069,0.000946767
Ayeyarwady,Hinthada,Zalun,8,40527,0.000197399
Bago,Thayarwady,Monyo,2,17778,0.000112499
Bago,Thayarwady,Tharrawaddy,2,19361,0.0001033
Yangon,Yangon-N,Hmawbi,1332,738893,0.001802697
Yangon,Yangon-N,Hlegu,2900,867395,0.003343344
Bago,Thayarwady,Letpatan,217,609211,0.000356198
Bago,Pegu,Bago (Pegu),5580,2458344,0.002269821
Bago,Pegu,Kyauktaga,9165,2811773,0.003259509
Bago,Pegu,Daik-U,9383,467487,0.020071146
Bago,Pegu,Kawa,7,15215,0.000460072
Yangon,Yangon-S,Kayan,0,4798,0
Yangon,Yangon-S,Syriam,5,2559,0.001953888
Yangon,Yangon-E,Yangon (Rangoon),2,2381,0.000839983
Yangon,Yangon-W,Yangon (Rangoon),2,5167,0.000387072
Yangon,Yangon-N,Htantabin,0,3599,0
Yangon,Yangon-S,Insein,15,11756,0.001275944
Yangon,Yangon-S,Kawkhmu,756,185181,0.004082492
Ayeyarwady,Pharpon,Dedaye,1,13432,7.44491E-05
Yangon,Yangon-S,Kungyangon,324,64359,0.005034261
Yangon,Yangon-S,Kyauktan,14,3667,0.003817835
Yangon,Yangon-S,Thongwa,0,2050,0
Bago,Pegu,Thanatpin,0,9451,0
Mon,Thaton,Bilin,7239,1877036,0.003856612
Mon,Thaton,Paung,1647,240921,0.006836266
Mon,Mawlamyine,Chaungzon,217,57547,0.003770831
Mon,Mawlamyine,Moulmein,78,15320,0.005091384
Mon,Mawlamyine,Mudon,4294,257485,0.0166767
Mon,Mawlamyine,Kyaikmaraw,10853,556959,0.019486174
Kayin,Kawkareik,Pa-An,15575,1419591,0.01097147
Mon,Thaton,Thaton,4094,631416,0.006483839
Kayin,Kawkareik,Hlaingbwe,13798,4235041,0.003258056
Mon,Thaton,Kyaikto,5067,871958,0.00581106
Bago,Pegu,Shwegyin,12943,2804952,0.004614339
Kayin,Kawkareik,Papun,42670,8723762,0.004891238
Bago,Pegu,Nyaungiebin,205,21410,0.009574965
Bago,Pegu,Waw,24,16993,0.001412346
Bago,Taungoo,Pyu,1715,1819751,0.000942437
Bago,Taungoo,Kyaukki,6171,2323858,0.002655498
Bago,Taungoo,Oktwin,3298,1286045,0.002564451
Bago,Taungoo,Tantabin,1051,143523,0.007322868
Kayin,Kawkareik,Thandaung,7261,4749629,0.001528751
