NAME_1,NAME_2,NAME_3,loss_2010,treecover2000,percentloss
Tanintharyi,Kawthoung,Kawthaung,73160,3140789,0.02329351
Ayeyarwady,Bassein,Ngaputaw,3086,2258207,0.001366571
Ayeyarwady,Myoungmya,Labutta,44,78864,0.000557922
Ayeyarwady,Myoungmya,Myaungmya,181,225412,0.000802974
Ayeyarwady,Myoungmya,Wakema,28,17986,0.001556766
Rakhine,Maungtaw,Maungdaw,4030,1296413,0.003108577
Rakhine,Buthidaung,Buthidaung,2123,2160957,0.000982435
Rakhine,Buthidaung,Ponnagyun & Rathedaung,415,1031589,0.000402292
Rakhine,Buthidaung,Sittwe (Akyab),0,2179,0
Rakhine,Sittwe,Pauktaw,837,199933,0.004186402
Rakhine,Sittwe,Myebon,145084,1624717,0.089298013
Rakhine,Kyaunkpyu,Kyaukpyu,6138,587306,0.010451111
Rakhine,Kyaunkpyu,An,34234,8382837,0.00408382
Rakhine,Sittwe,Minbya,4094,3658938,0.001118904
Rakhine,Sittwe,Mrauk-Oo,160,603619,0.000265068
Chin,Mindat,Paletwa,8496,12225679,0.000694931
Chin,Mindat,Kanpetlet,3193,2850034,0.001120338
Rakhine,Sittwe,Kyauktaw,567,1475443,0.000384291
Chin,Mindat,Matupi,9733,6387534,0.001523749
Chin,Palam,Thlangtlang,22020,4675850,0.004709304
Chin,Palam,Haka,6055,4694623,0.001289773
Chin,Mindat,Mindat,7941,4717849,0.001683182
Magway,Pakokku,Saw,6853,1787752,0.003833306
Magway,Pakokku,Seikpyu,550,225644,0.002437468
Magway,Pakokku,Pauk,3504,569137,0.00615669
Magway,Pakokku,Htilin,958,930198,0.001029888
Magway,Pakokku,Gangaw,2376,1661654,0.001429901
Sagaing,Kalemyo,Kale,2230,2412434,0.000924378
Sagaing,Kalemyo,Mingin,2989,3471362,0.000861045
Sagaing,Monywa,Kani,7179,2650588,0.002708456
Sagaing,Monywa,Pale,3823,673174,0.005679067
Magway,Pakokku,Myaing,40,4848,0.008250825
Sagaing,Monywa,Yinmabin,444,24038,0.018470755
Sagaing,Monywa,Budalin,2,4327,0.000462214
Sagaing,Monywa,Monywa,0,709,0
Sagaing,Monywa,Salingyi,12,1731,0.006932409
Magway,Pakokku,Yesagyo,17,2253,0.007545495
Magway,Pakokku,Pakokku,11,975,0.011282051
Mandalay,Myingyan,Nyaungu,1,308,0.003246753
Mandalay,Myingyan,Kyaukpadaung,67,76372,0.000877285
Magway,Magwe Minbu,Chauk,2,338,0.00591716
Magway,Minbu,Salin,1209,464085,0.002605126
Magway,Magwe Minbu,Yenangyaung,0,111,0
Magway,Magwe Minbu,Magwe,0,150,0
Magway,Minbu,Minbu (Sagu),478,93038,0.005137686
Magway,Minbu,Pwinbyu,398,209815,0.001896909
Magway,Minbu,Sidoktaya,4756,2863453,0.001660932
Magway,Minbu,Ngape,1968,880920,0.002234028
Magway,Thayetmyo,Minhla,1915,720876,0.00265649
Magway,Thayetmyo,Mindon,2245,2155693,0.001041428
Magway,Thayetmyo,Sinbaungwe (Tantabin),1733,191828,0.009034135
Magway,Thayetmyo,Thayet,286,131013,0.002182989
Magway,Thayetmyo,Kama,1323,608776,0.002173213
Rakhine,Thandwe,Taungup,44792,5478524,0.008175925
Rakhine,Thandwe,Arakan (Sandoway),5481,4649772,0.001178767
Bago,Pyay,Padaung,822,1760537,0.000466903
Bago,Pyay,Shwedaung,84,50887,0.001650716
Ayeyarwady,Hinthada,Kyangin,385,470713,0.000817908
Ayeyarwady,Hinthada,Myanaung,297,694854,0.000427428
Ayeyarwady,Hinthada,Ingapu,421,875065,0.000481107
Rakhine,Thandwe,Gwa,4334,3113144,0.001392162
Rakhine,Kyaunkpyu,Man Aung,31,252183,0.000122927
Rakhine,Kyaunkpyu,Ramree,6450,917803,0.007027652
Ayeyarwady,Bassein,Bassein West,9871,1121269,0.008803418
Ayeyarwady,Bassein,Thabaung,3137,1591547,0.001971038
Ayeyarwady,Hinthada,Lemyethna,159,585055,0.000271769
Ayeyarwady,Bassein,Yegyi,108,453532,0.000238131
Ayeyarwady,Bassein,Kyonpyaw,9,87870,0.000102424
Ayeyarwady,Bassein,Kyaunggon,12,20394,0.000588408
Ayeyarwady,Myoungmya,Einme,3,32902,9.11799E-05
Ayeyarwady,Myoungmya,Moulmeingyun,11,10347,0.00106311
Ayeyarwady,Maubin,Pantanaw,314,136447,0.00230126
Ayeyarwady,Pharpon,Kyaiklat,23,24235,0.000949041
Ayeyarwady,Maubin,Ma-Ubin,17,20191,0.000841959
Ayeyarwady,Maubin,Irrawaddy,16,25431,0.000629153
Ayeyarwady,Maubin,Yandoon,43,58093,0.000740192
