NAME_1,NAME_2,NAME_3,loss_2007,treecover2000,percentloss
Tanintharyi,Kawthoung,Kawthaung,49507,3140789,0.0157626
Ayeyarwady,Bassein,Ngaputaw,1358,2258207,0.000601362
Ayeyarwady,Myoungmya,Labutta,97,78864,0.001229966
Ayeyarwady,Myoungmya,Myaungmya,36,225412,0.000159708
Ayeyarwady,Myoungmya,Wakema,26,17986,0.001445569
Rakhine,Maungtaw,Maungdaw,2364,1296413,0.001823493
Rakhine,Buthidaung,Buthidaung,593,2160957,0.000274415
Rakhine,Buthidaung,Ponnagyun & Rathedaung,0,1031589,0
Rakhine,Buthidaung,Sittwe (Akyab),0,2179,0
Rakhine,Sittwe,Pauktaw,0,199933,0
Rakhine,Sittwe,Myebon,15137,1624717,0.009316699
Rakhine,Kyaunkpyu,Kyaukpyu,2000,587306,0.00340538
Rakhine,Kyaunkpyu,An,36587,8382837,0.004364513
Rakhine,Sittwe,Minbya,2100,3658938,0.000573937
Rakhine,Sittwe,Mrauk-Oo,9,603619,1.49101E-05
Chin,Mindat,Paletwa,459,12225679,3.75439E-05
Chin,Mindat,Kanpetlet,4899,2850034,0.001718927
Rakhine,Sittwe,Kyauktaw,19,1475443,1.28775E-05
Chin,Mindat,Matupi,705,6387534,0.000110371
Chin,Palam,Thlangtlang,6,4675850,1.28319E-06
Chin,Palam,Haka,2601,4694623,0.000554038
Chin,Mindat,Mindat,7963,4717849,0.001687845
Magway,Pakokku,Saw,8375,1787752,0.004684654
Magway,Pakokku,Seikpyu,1068,225644,0.004733119
Magway,Pakokku,Pauk,6407,569137,0.011257395
Magway,Pakokku,Htilin,3466,930198,0.003726088
Magway,Pakokku,Gangaw,6442,1661654,0.00387686
Sagaing,Kalemyo,Kale,3237,2412434,0.001341798
Sagaing,Kalemyo,Mingin,5193,3471362,0.001495955
Sagaing,Monywa,Kani,11822,2650588,0.004460142
Sagaing,Monywa,Pale,3430,673174,0.005095265
Magway,Pakokku,Myaing,43,4848,0.008869637
