NAME_1,NAME_2,NAME_3,loss_2014,treecover2000,percentloss
Tanintharyi,Kawthoung,Kawthaung,44784,3140789,0.014258838
Ayeyarwady,Bassein,Ngaputaw,13585,2258207,0.006015835
Ayeyarwady,Myoungmya,Labutta,369,78864,0.004678941
Ayeyarwady,Myoungmya,Myaungmya,1692,225412,0.007506255
Ayeyarwady,Myoungmya,Wakema,27,17986,0.001501168
Rakhine,Maungtaw,Maungdaw,11104,1296413,0.008565172
Rakhine,Buthidaung,Buthidaung,18366,2160957,0.008499012
Rakhine,Buthidaung,Ponnagyun & Rathedaung,4335,1031589,0.004202255
Rakhine,Buthidaung,Sittwe (Akyab),1,2179,0.000458926
Rakhine,Sittwe,Pauktaw,618,199933,0.003091035
Rakhine,Sittwe,Myebon,7354,1624717,0.004526327
Rakhine,Kyaunkpyu,Kyaukpyu,2908,587306,0.004951422
Rakhine,Kyaunkpyu,An,40514,8382837,0.00483297
Rakhine,Sittwe,Minbya,13073,3658938,0.003572895
Rakhine,Sittwe,Mrauk-Oo,3775,603619,0.006253945
Chin,Mindat,Paletwa,124635,12225679,0.010194526
Chin,Mindat,Kanpetlet,26522,2850034,0.009305854
Rakhine,Sittwe,Kyauktaw,5240,1475443,0.003551476
Chin,Mindat,Matupi,50801,6387534,0.007953147
Chin,Palam,Thlangtlang,77262,4675850,0.016523627
Chin,Palam,Haka,23491,4694623,0.00500381
Chin,Mindat,Mindat,65587,4717849,0.013901886
Magway,Pakokku,Saw,9481,1787752,0.005303308
Magway,Pakokku,Seikpyu,108,225644,0.00047863
Magway,Pakokku,Pauk,350,569137,0.000614966
Magway,Pakokku,Htilin,3788,930198,0.004072251
Magway,Pakokku,Gangaw,16924,1661654,0.010185033
Sagaing,Kalemyo,Kale,12603,2412434,0.005224184
Sagaing,Kalemyo,Mingin,1586,3471362,0.000456881
Sagaing,Monywa,Kani,2272,2650588,0.000857168
Sagaing,Monywa,Pale,2519,673174,0.003741975
Magway,Pakokku,Myaing,2,4848,0.000412541
