NAME_1,NAME_2,NAME_3,loss_2012,treecover2000,percentloss
Tanintharyi,Kawthoung,Kawthaung,34811,3140789,0.011083521
Ayeyarwady,Bassein,Ngaputaw,11458,2258207,0.005073937
Ayeyarwady,Myoungmya,Labutta,69,78864,0.000874924
Ayeyarwady,Myoungmya,Myaungmya,421,225412,0.001867691
Ayeyarwady,Myoungmya,Wakema,63,17986,0.003502724
Rakhine,Maungtaw,Maungdaw,4373,1296413,0.003373153
Rakhine,Buthidaung,Buthidaung,4940,2160957,0.002286024
Rakhine,Buthidaung,Ponnagyun & Rathedaung,1288,1031589,0.001248559
Rakhine,Buthidaung,Sittwe (Akyab),3,2179,0.001376778
Rakhine,Sittwe,Pauktaw,473,199933,0.002365793
Rakhine,Sittwe,Myebon,7548,1624717,0.004645732
Rakhine,Kyaunkpyu,Kyaukpyu,3754,587306,0.006391898
Rakhine,Kyaunkpyu,An,28088,8382837,0.003350656
Rakhine,Sittwe,Minbya,6359,3658938,0.001737936
Rakhine,Sittwe,Mrauk-Oo,1352,603619,0.002239823
Chin,Mindat,Paletwa,24075,12225679,0.001969216
Chin,Mindat,Kanpetlet,7662,2850034,0.002688389
Rakhine,Sittwe,Kyauktaw,1621,1475443,0.001098653
Chin,Mindat,Matupi,20991,6387534,0.003286245
Chin,Palam,Thlangtlang,46159,4675850,0.009871788
Chin,Palam,Haka,10577,4694623,0.002253003
Chin,Mindat,Mindat,19327,4717849,0.00409657
Magway,Pakokku,Saw,5453,1787752,0.003050199
Magway,Pakokku,Seikpyu,1100,225644,0.004874936
Magway,Pakokku,Pauk,3375,569137,0.005930031
Magway,Pakokku,Htilin,7526,930198,0.008090751
Magway,Pakokku,Gangaw,7935,1661654,0.004775362
Sagaing,Kalemyo,Kale,7811,2412434,0.003237809
Sagaing,Kalemyo,Mingin,6023,3471362,0.001735054
Sagaing,Monywa,Kani,22844,2650588,0.008618465
Sagaing,Monywa,Pale,3702,673174,0.005499321
Magway,Pakokku,Myaing,31,4848,0.006394389
Sagaing,Monywa,Yinmabin,692,24038,0.028787753
Sagaing,Monywa,Budalin,61,4327,0.014097527
Sagaing,Monywa,Monywa,4,709,0.005641749
Sagaing,Monywa,Salingyi,118,1731,0.068168689
Magway,Pakokku,Yesagyo,2,2253,0.000887705
Magway,Pakokku,Pakokku,17,975,0.017435897
Mandalay,Myingyan,Nyaungu,1,308,0.003246753
Mandalay,Myingyan,Kyaukpadaung,49,76372,0.000641596
Magway,Magwe Minbu,Chauk,1,338,0.00295858
Magway,Minbu,Salin,3515,464085,0.007574044
Magway,Magwe Minbu,Yenangyaung,0,111,0
Magway,Magwe Minbu,Magwe,11,150,0.073333333
Magway,Minbu,Minbu (Sagu),1122,93038,0.012059589
Magway,Minbu,Pwinbyu,982,209815,0.004680314
Magway,Minbu,Sidoktaya,9757,2863453,0.003407425
Magway,Minbu,Ngape,3394,880920,0.00385279
Magway,Thayetmyo,Minhla,2834,720876,0.003931328
Magway,Thayetmyo,Mindon,4938,2155693,0.002290679
Magway,Thayetmyo,Sinbaungwe (Tantabin),582,191828,0.003033968
Magway,Thayetmyo,Thayet,663,131013,0.005060567
Magway,Thayetmyo,Kama,2095,608776,0.003441331
Rakhine,Thandwe,Taungup,18018,5478524,0.003288842
Rakhine,Thandwe,Arakan (Sandoway),12921,4649772,0.002778846
Bago,Pyay,Padaung,1303,1760537,0.000740115
Bago,Pyay,Shwedaung,78,50887,0.001532808
Ayeyarwady,Hinthada,Kyangin,304,470713,0.000645829
Ayeyarwady,Hinthada,Myanaung,505,694854,0.000726771
Ayeyarwady,Hinthada,Ingapu,1165,875065,0.00133133
Rakhine,Thandwe,Gwa,9667,3113144,0.003105221
Rakhine,Kyaunkpyu,Man Aung,478,252183,0.001895449
Rakhine,Kyaunkpyu,Ramree,3454,917803,0.003763335
Ayeyarwady,Bassein,Bassein West,20750,1121269,0.018505818
Ayeyarwady,Bassein,Thabaung,5220,1591547,0.003279828
Ayeyarwady,Hinthada,Lemyethna,2926,585055,0.005001239
Ayeyarwady,Bassein,Yegyi,959,453532,0.002114515
Ayeyarwady,Bassein,Kyonpyaw,251,87870,0.002856493
Ayeyarwady,Bassein,Kyaunggon,19,20394,0.000931647
Ayeyarwady,Myoungmya,Einme,47,32902,0.001428485
Ayeyarwady,Myoungmya,Moulmeingyun,8,10347,0.000773171
Ayeyarwady,Maubin,Pantanaw,442,136447,0.003239353
Ayeyarwady,Pharpon,Kyaiklat,23,24235,0.000949041
Ayeyarwady,Maubin,Ma-Ubin,55,20191,0.002723986
Ayeyarwady,Maubin,Irrawaddy,12,25431,0.000471865
Ayeyarwady,Maubin,Yandoon,44,58093,0.000757406
Ayeyarwady,Maubin,Danubyu,42,46895,0.000895618
Yangon,Yangon-N,Taikkyi,22,29022,0.000758046
Ayeyarwady,Hinthada,Henzada,63,76335,0.000825309
Ayeyarwady,Hinthada,Danubyu,60,56837,0.00105565
Bago,Thayarwady,Minhla,1908,1072069,0.001779736
Ayeyarwady,Hinthada,Zalun,38,40527,0.000937647
Bago,Thayarwady,Monyo,12,17778,0.000674992
Bago,Thayarwady,Tharrawaddy,59,19361,0.003047363
Yangon,Yangon-N,Hmawbi,2959,738893,0.004004639
Yangon,Yangon-N,Hlegu,8462,867395,0.009755648
Bago,Thayarwady,Letpatan,1722,609211,0.002826607
Bago,Pegu,Bago (Pegu),37165,2458344,0.015117901
Bago,Pegu,Kyauktaga,14339,2811773,0.005099629
Bago,Pegu,Daik-U,6898,467487,0.014755491
Bago,Pegu,Kawa,5,15215,0.000328623
Yangon,Yangon-S,Kayan,1,4798,0.00020842
Yangon,Yangon-S,Syriam,30,2559,0.011723329
Yangon,Yangon-E,Yangon (Rangoon),1,2381,0.000419992
Yangon,Yangon-W,Yangon (Rangoon),14,5167,0.002709503
Yangon,Yangon-N,Htantabin,4,3599,0.00111142
Yangon,Yangon-S,Insein,21,11756,0.001786322
Yangon,Yangon-S,Kawkhmu,2204,185181,0.011901869
Ayeyarwady,Pharpon,Dedaye,14,13432,0.001042287
Yangon,Yangon-S,Kungyangon,681,64359,0.010581271
Yangon,Yangon-S,Kyauktan,4,3667,0.00109081
Yangon,Yangon-S,Thongwa,1,2050,0.000487805
Bago,Pegu,Thanatpin,2,9451,0.000211618
Mon,Thaton,Bilin,16565,1877036,0.008825084
Mon,Thaton,Paung,4087,240921,0.016964067
Mon,Mawlamyine,Chaungzon,193,57547,0.00335378
Mon,Mawlamyine,Moulmein,57,15320,0.003720627
Mon,Mawlamyine,Mudon,1492,257485,0.005794512
